"","S.Vowels","S.Consonants","glotto","asjp.Vowels","asjp.Consonants","asjp.VProp","S.VProp","family","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","autotyp.area"
"darg1241",3684,4982,"darg1241",73.5714285714286,126.857142857143,0.579954954954955,0.739462063428342,"Nakh-Daghestanian",42.4257,47.4388,69,120,0.00676271497804973,"Greater Mesopotamia"
"maqu1238",1353,1370,"maqu1238",87,87,1,0.987591240875912,"Cariban",4.70705,-64.3877,49,61,0.0174471174106449,"NE South America"
"tain1252",2107,3287,"tain1252",69.5,95.25,0.729658792650919,0.641010039549741,"Tai-Kadai",21.7837,99.722,58,147,0.013646793977467,"Southeast Asia"
"dutc1256",2124,3345,"dutc1256",61,109.5,0.557077625570776,0.634977578475336,"Indo-European",52,5,74,98,0.00702505466802642,"Europe"
"lang1316",1729,2509,"lang1316",55,83,0.662650602409639,0.689119170984456,"Tai-Kadai",23.0105,104.449,59,150,0.0138881765689588,"Southeast Asia"
"nort2972",1917,1396,"nort2972",100.666666666667,121.333333333333,0.82967032967033,1.37320916905444,"Chocoan",7.12761,-77.574,51,54,0.0190656396250971,"Andean"
"stan1293",1826,2924,"stan1293",128,238,0.53781512605042,0.624487004103967,"Indo-European",53,-1,74,94,0.00714047989918415,"Europe"
"epen1239",2996,2053,"epen1239",83.5,120,0.695833333333333,1.45932781295665,"Chocoan",4.25877,-77.3566,49,54,0.0176211136790987,"Andean"
"erzy1239",2631,3926,"erzy1239",72,134,0.537313432835821,0.67014773306164,"Uralic",52.8548,45.3901,74,119,0.00518172344726107,"Inner Asia"
"esee1248",5283,4114,"esee1248",192,164.5,1.16717325227964,1.28415167719981,"Tacanan",-11.7268,-67.515,41,60,0.0164328499067599,"NE South America"
"esto1258",3777,4175,"esto1258",NA,NA,NA,0.904670658682635,"Uralic",59.5478,22.8209,78,107,0.00586454079020979,"Inner Asia"
"finn1318",4973,4278,"finn1318",233,273,0.853479853479853,1.16245909303413,"Uralic",64.7628,25.5577,80,108,0.00509239603632479,"Inner Asia"
"gaww1239",2635,3019,"gaww1239",84.25,97.5,0.864102564102564,0.872805564756542,"Afro-Asiatic",5.37869,37.2737,50,115,0.0127948201095571,"Greater Abyssinia"
"wayu1243",3450,2480,"wayu1243",142,150,0.946666666666667,1.39112903225806,"Arawakan",10.2252,-71.8101,52,57,0.0161849298717949,"NE South America"
"ghod1238",3453,3648,"ghod1238",95,155,0.612903225806452,0.946546052631579,"Nakh-Daghestanian",42.7428,46.2252,69,119,0.00654397926787102,"Greater Mesopotamia"
"para1311",4529,3862,"para1311",316,584,0.541095890410959,1.17270844122216,"Tupian",-25.6055,-57.0882,34,65,0.0138442504421134,"SE South America"
"puel1244",1944,2169,"puel1244",98,144.5,0.678200692041522,0.896265560165975,"F 4",-36.6376,-62.9413,28,62,0.00662819596639472,"SE South America"
"guri1247",2809,3794,"guri1247",97,148,0.655405405405405,0.740379546652609,"Pama-Nyungan",-17.0329,130.379,38,163,0.00841585604215229,"N Australia"
"haus1257",4881,3265,"haus1257",124,163.25,0.759571209800919,1.49494640122511,"Afro-Asiatic",11.1513,8.7804,53,100,0.0128904896153846,"African Savannah"
"hawa1245",3426,2426,"hawa1245",185.666666666667,126.333333333333,1.46965699208443,1.41220115416323,"Austronesian",19.6297,-155.43,57,13,0.0158820471678322,"Oceania"
"hind1269",3053,4174,"hind1269",184,328,0.560975609756098,0.731432678485865,"Indo-European",25,77,60,135,0.010342837282634,"Indic"
"hinu1240",3789,4230,"hinu1240",77,131,0.587786259541985,0.895744680851064,"Nakh-Daghestanian",42.4502,45.8064,69,119,0.00654397926787102,"Greater Mesopotamia"
"hlai1239",1951,2760,"hlai1239",68.3333333333333,100,0.683333333333333,0.706884057971015,"Tai-Kadai",18.8062,109.459,57,152,0.0176043036499611,"Southeast Asia"
"hung1274",3498,4020,"hung1274",101.5,178,0.570224719101124,0.870149253731343,"Uralic",46.9069,19.6555,71,105,0.00773176332167832,"Europe"
"hunz1247",3039,3379,"hunz1247",76,127,0.598425196850394,0.899378514353359,"Nakh-Daghestanian",42.0808,46.1369,69,119,0.00654397926787102,"Greater Mesopotamia"
"hupd1244",1828,2817,"hupd1244",143,348,0.410919540229885,0.648917287894924,"Nadahup",0.58622,-69.8359,47,58,0.0180299208216783,"NE South America"
"oduu1239",1563,3028,"oduu1239",NA,NA,NA,0.516182298546896,"Austroasiatic",19.3497,104.106,57,150,0.0159642177107615,"Southeast Asia"
"igna1246",3714,2966,"igna1246",148,144,1.02777777777778,1.2521915037087,"Arawakan",-15.1188,-65.3993,39,61,0.0145083481002331,"NE South America"
"imba1240",2962,3445,"imba1240",93.5,123.5,0.757085020242915,0.859796806966618,"Quechuan",0.31776,-78.3729,47,54,0.0139148980205905,"Andean"
"indo1316",4191,5888,"indo1316",138,188.333333333333,0.732743362831858,0.711786684782609,"Austronesian",-7.33458,109.716,43,153,0.018421975975136,"Southeast Asia"
"ingu1240",2873,3620,"ingu1240",66,120,0.55,0.793646408839779,"Nakh-Daghestanian",42.9525,44.158,69,118,0.00679422693356643,"Greater Mesopotamia"
"iraq1241",3044,2976,"iraq1241",139,194,0.716494845360825,1.02284946236559,"Afro-Asiatic",-4.19948,35.2939,45,114,0.0117665009529915,"S Africa"
"iton1250",3127,3299,"iton1250",116,147,0.789115646258503,0.94786298878448,"F 5",-12.8043,-64.3575,40,61,0.0164177390423465,"NE South America"
"nucl1643",4286,4087,"nucl1643",117.333333333333,127.333333333333,0.921465968586387,1.04869097137264,"Japonic",35,135,65,166,0.0114923143865579,"N Coast Asia"
"jude1256",4911,6310,"jude1256",94,156.5,0.600638977635783,0.778288431061807,"Indo-European",32.33,34.75,64,113,0.0114954363515929,"Greater Mesopotamia"
"kain1272",3108,4229,"kain1272",58,109,0.532110091743119,0.734925514305983,"Nuclear-Macro-Je",-27.7671,-52.5394,33,67,0.0133004314788267,"SE South America"
"gali1262",3362,2815,"gali1262",107,102,1.04901960784314,1.1943161634103,"Cariban",5.83772,-56.8323,50,65,0.0170554829817405,"NE South America"
"cent2050",3009,3617,"cent2050",226,324,0.697530864197531,0.831904893558197,"Saharan",11.8863,16.3918,53,104,0.0123284666938617,"African Savannah"
"kara1474",3352,3790,"kara1474",94,168.5,0.55786350148368,0.8844327176781,"Nakh-Daghestanian",42.6501,46.3151,69,119,0.00654397926787102,"Greater Mesopotamia"
"karo1304",2031,2919,"karo1304",97,140,0.692857142857143,0.695786228160329,"F 6",41.8228,-123.315,69,30,0.00752633479623155,"California"
"suoy1242",2089,3853,"suoy1242",NA,NA,NA,0.542174928627044,"Austroasiatic",11.936,104.136,53,150,0.0187591800621601,"Southeast Asia"
"manm1238",1335,2604,"manm1238",NA,NA,NA,0.512672811059908,"Austroasiatic",22.0743,100.842,58,148,0.0136582032284382,"Southeast Asia"
"kett1243",1803,2718,"kett1243",82,160,0.5125,0.663355408388521,"Yeniseian",63.7551,87.5466,80,141,0.0040170688472805,"Inner Asia"
"khap1242",1785,4021,"khap1242",NA,NA,NA,0.443919423029097,"Austroasiatic",NA,NA,NA,NA,NA,"Southeast Asia"
"nort2740",1735,2723,"nort2740",60.5,112,0.540178571428571,0.637164891663606,"Tai-Kadai",18.8575,100.207,57,148,0.0148562840951826,"Southeast Asia"
"khan1273",3031,3916,"khan1273",80,183,0.437158469945355,0.774004085801839,"Uralic",62.4308,66.1218,79,130,0.00484959278644134,"Inner Asia"
"khas1269",2490,4422,"khas1269",105,204.5,0.513447432762836,0.563093622795115,"Austroasiatic",24.977,91.9998,60,143,0.0151366546365579,"Indic"
"khin1240",3102,4023,"khin1240",67,139,0.482014388489209,0.771066368381805,"Nakh-Daghestanian",41.1801,48.0571,68,120,0.00703468112956488,"Greater Mesopotamia"
"inxo1238",3116,3417,"inxo1238",NA,NA,NA,0.911911033069944,"Nakh-Daghestanian",NA,NA,NA,NA,NA,"Greater Mesopotamia"
"kild1236",2133,4120,"kild1236",62,172,0.36046511627907,0.517718446601942,"Uralic",68.2158,35.8348,82,114,0.00411558658799534,"Inner Asia"
"komi1268",3312,4549,"komi1268",54,110,0.490909090909091,0.728072103759068,"Uralic",64.0527,54.946,80,124,0.00477240514592075,"Inner Asia"
"kryt1240",2691,3341,"kryt1240",65,125,0.52,0.805447470817121,"Nakh-Daghestanian",41.1811,48.1846,68,120,0.00703468112956488,"Greater Mesopotamia"
"kumy1244",3629,4984,"kumy1244",74,121,0.611570247933884,0.728130016051364,"Turkic",43,47,69,120,0.00676271497804973,"Greater Mesopotamia"
"kunz1244",2273,3441,"kunz1244",125,196,0.637755102040816,0.660563789596048,"F 7",-23,-69,35,59,0.00605446459304584,"Andean"
"lakk1252",3044,4113,"lakk1252",76,145,0.524137931034483,0.740092389982981,"Nakh-Daghestanian",42.1328,47.0809,69,120,0.00676271497804973,"Greater Mesopotamia"
"lakk1238",2262,3035,"lakk1238",50,84.5,0.591715976331361,0.745304777594728,"Tai-Kadai",24.1169,110.106,59,153,0.0153238601091686,"Southeast Asia"
"emab1235",1776,2823,"emab1235",NA,NA,NA,0.629117959617428,"Tai-Kadai",23.0105,104.449,59,150,0.0138881765689588,"Southeast Asia"
"leng1262",3929,4050,"leng1262",NA,NA,NA,0.970123456790123,"Lengua-Mascoy",-22.6559,-58.9053,35,64,0.0122344340942113,"SE South America"
"lezg1247",3705,4979,"lezg1247",57,125.666666666667,0.453580901856764,0.744125326370757,"Nakh-Daghestanian",41.5157,47.8951,68,120,0.00703468112956488,"Greater Mesopotamia"
"lowe1385",2584,4442,"lowe1385",70,117.5,0.595744680851064,0.581719945970284,"Indo-European",51.6621,13.9407,74,102,0.00707570809731935,"Europe"
"maca1260",2922,3421,"maca1260",95,151,0.629139072847682,0.854136217480269,"Matacoan",-25.0119,-57.3694,34,65,0.0138442504421134,"SE South America"
"macu1259",3181,2872,"macu1259",95.5,93.5,1.02139037433155,1.10759052924791,"Cariban",4.31861,-60.2209,49,63,0.0161514896445221,"NE South America"
"maha1287",1525,3042,"maha1287",40,52,0.769230769230769,0.501314924391847,"Indo-European",31.0088,77.5317,63,136,0.0105222514403652,"Indic"
"plat1254",4182,4494,"plat1254",103.375,104.875,0.98569725864124,0.930574098798398,"Austronesian",-19.5907,47.1211,37,120,0.0132306122020202,"Southeast Asia"
"mali1278",1857,3434,"mali1278",NA,NA,NA,0.540768782760629,"Austroasiatic",NA,NA,NA,NA,NA,"Southeast Asia"
"mana1288",1682,2390,"mana1288",56,115,0.48695652173913,0.703765690376569,"Sino-Tibetan",28.6416,84.0515,62,139,0.0106403479203574,"Indic"
"mand1415",3769,4025,"mand1415",117.333333333333,182.333333333333,0.643510054844607,0.93639751552795,"Sino-Tibetan",40.0209,116.228,68,156,0.00668135333974359,"Southeast Asia"
"mang1378",1858,3250,"mang1378",58,93,0.623655913978495,0.571692307692308,"Austroasiatic",21.4305,102.133,58,149,0.0140674308886946,"Southeast Asia"
"mans1258",3516,5378,"mans1258",76,203,0.374384236453202,0.653774637411677,"Uralic",64.4118,61.344,80,127,0.0044863937454934,"Inner Asia"
"maon1241",1557,2469,"maon1241",53.5,87.5,0.611428571428571,0.630619684082625,"Tai-Kadai",25.0169,108.024,60,152,0.013779116725913,"Southeast Asia"
"maor1246",6569,4801,"maor1246",146.333333333333,133,1.10025062656642,1.36825661320558,"Austronesian",-38.2881,176.541,27,188,0.00828186218201243,"Oceania"
"mapu1245",2860,4035,"mapu1245",127.5,207.75,0.613718411552347,0.708798017348203,"Araucanian",-38.7392,-71.277,27,58,0.00599613614879565,"Andean"
"mara1378",3763,4676,"mara1378",61,111,0.54954954954955,0.804747647562019,"Indo-European",17.9344,76.6665,56,135,0.0134552570227273,"Indic"
"east2328",3089,3963,"east2328",64,106.5,0.60093896713615,0.779460005046682,"Uralic",55.8307,48.405,76,120,0.00547449185635198,"Inner Asia"
"mash1270",1395,1626,"mash1270",107,160,0.66875,0.857933579335793,"Arawakan",-11.4745,-70.7953,41,58,0.0135846123902486,"NE South America"
"mlab1235",1320,2855,"mlab1235",51,99,0.515151515151515,0.462346760070053,"Austroasiatic",18.5533,101.163,57,148,0.0148562840951826,"Southeast Asia"
"moco1246",3659,4025,"moco1246",102,126,0.80952380952381,0.909068322981366,"Guaicuruan",-28.097,-60.4145,32,63,0.0092116198010878,"SE South America"
"mose1249",2820,2912,"mose1249",62,99,0.626262626262626,0.968406593406593,"F 8",-14.6445,-67.8376,39,59,0.00812573959537684,"NE South America"
"movi1243",2673,2827,"movi1243",264,411,0.642335766423358,0.945525291828794,"F 9",-13.8115,-65.6348,40,61,0.0164177390423465,"NE South America"
"chib1270",2903,2766,"chib1270",112,113,0.991150442477876,1.04953000723066,"Chibchan",6.24999,-74.1666,50,56,0.0147527783411033,"NE South America"
"high1278",4328,4680,"high1278",69.6666666666667,97.3333333333333,0.715753424657534,0.924786324786325,"Uto-Aztecan",20.1554,-97.5556,57,44,0.0133735529308469,"Mesoamerica"
"nene1249",2789,3768,"nene1249",90,195,0.461538461538462,0.740180467091295,"Uralic",66.1775,71.0234,81,132,0.00402174129327894,"Inner Asia"
"east1436",2293,2793,"east1436",NA,NA,NA,0.820981023988543,"Indo-European",NA,NA,NA,NA,NA,"Indic"
"nina1238",2756,2428,"nina1238",110.25,156,0.706730769230769,1.13509060955519,"Yanomam",4.03894,-62.7801,49,62,0.0165718901748252,"NE South America"
"niva1238",3122,5024,"niva1238",85,119,0.714285714285714,0.621417197452229,"Matacoan",-22.8557,-61.7606,35,63,0.0128804159700855,"SE South America"
"noga1249",4329,5135,"noga1249",77,127,0.606299212598425,0.843037974683544,"Turkic",43.5917,46.6618,70,119,0.00696660761693862,"Inner Asia"
"nort2938",2901,2982,"nort2938",NA,NA,NA,0.972837022132797,"Haida",54.6931,-132.465,75,25,0.00656482846561772,"Alaska-Oregon"
"nort2671",3238,4098,"nort2671",103,121,0.851239669421488,0.790141532454856,"Uralic",68.725,22.1113,83,107,0.00384119447738928,"Inner Asia"
"guib1244",2424,3234,"guib1244",61,72,0.847222222222222,0.749536178107607,"Tai-Kadai",23.6818,107.184,59,151,0.0147958398690754,"Southeast Asia"
"nung1283",1882,2848,"nung1283",103.5,220,0.470454545454545,0.660814606741573,"Tai-Kadai",20.8965,104.286,58,150,0.0148620150522533,"Southeast Asia"
"nuuc1236",1535,2155,"nuuc1236",114,246,0.463414634146341,0.712296983758701,"Wakashan",NA,NA,NA,NA,NA,"Alaska-Oregon"
"nyah1250",1705,4064,"nyah1250",97,219.5,0.441913439635535,0.419537401574803,"Austroasiatic",15.8909,101.515,55,148,0.0171231826408314,"Southeast Asia"
"oldh1241",2087,3263,"oldh1241",73,117,0.623931623931624,0.639595464296659,"Indo-European",NA,NA,NA,NA,NA,"Europe"
"oroq1238",2281,3057,"oroq1238",84,97,0.865979381443299,0.746156362446843,"Tungusic",50.6319,125.017,73,161,0.00521435385508935,"Inner Asia"
"mezq1235",4094,4918,"mezq1235",75.5,100,0.755,0.832452216348109,"Otomanguean",20.2274,-99.5564,57,43,0.0136842498057498,"Mesoamerica"
"paez1247",2132,2755,"paez1247",107.5,235.5,0.456475583864119,0.773865698729583,"F 10",2.61516,-76.3125,48,55,0.0150354835897436,"NE South America"
"boly1239",1671,2912,"boly1239",64,88,0.727272727272727,0.573832417582418,"Austroasiatic",24.7013,104.955,60,150,0.0122853852439782,"Southeast Asia"
"enap1235",3341,3046,"enap1235",88.5,112,0.790178571428571,1.09684832567301,"Cariban",6.95035,-65.8483,51,60,0.0173408540306915,"NE South America"
"pear1247",1578,3379,"pear1247",112,308,0.363636363636364,0.467002071618822,"Austroasiatic",13.593,105.028,54,150,0.0178368073076923,"Southeast Asia"
"west2369",3472,3922,"west2369",152,278,0.546762589928058,0.885262621111678,"Indo-European",28.6593,55.1586,62,124,0.00682989562567987,"Greater Mesopotamia"
"phon1246",1373,2927,"phon1246",NA,NA,NA,0.469080970276734,"Austroasiatic",19.9622,104.088,57,150,0.0159642177107615,"Southeast Asia"
"pila1245",3970,3916,"pila1245",112,147,0.761904761904762,1.01378958120531,"Guaicuruan",-25.0058,-60.1537,34,63,0.0114692239963092,"SE South America"
"polc1243",2159,2781,"polc1243",62.3333333333333,110,0.566666666666667,0.776339446242359,"Afro-Asiatic",10.0258,9.53362,52,100,0.0149418736264569,"African Savannah"
"pray1239",2042,5053,"pray1239",NA,NA,NA,0.404116366514942,"Austroasiatic",19.4306,101.021,57,148,0.0148562840951826,"Southeast Asia"
"puin1248",2349,2291,"puin1248",104.5,175.5,0.595441595441595,1.0253164556962,"F 11",3.92974,-67.6886,49,59,0.0188419431060606,"NE South America"
"west2386",3663,3972,"west2386",78,180,0.433333333333333,0.922205438066465,"Indo-European",30.0948,75.3474,63,135,0.0100549214823232,"Indic"
"bitt1240",2040,3505,"bitt1240",67,91,0.736263736263736,0.582025677603424,"Austroasiatic",21.3474,101.916,58,149,0.0140674308886946,"Southeast Asia"
"kekc1242",3571,5047,"kekc1242",152,286.333333333333,0.530849825378347,0.707549039033089,"Mayan",15.3788,-89.2452,55,48,0.0158245278593629,"Mesoamerica"
"qaua1234",2356,2457,"qaua1234",NA,NA,NA,0.958892958892959,"Tai-Kadai",26.155438,106.16455,61,151,0.0115395835400155,"Southeast Asia"
"qawa1238",1839,2137,"qawa1238",83,163,0.50920245398773,0.86055217594759,"Kawesqar",-49.703,-75.3756,21,55,0.00596429977583528,"SE South America"
"rapa1244",3298,2876,"rapa1244",118,107,1.10280373831776,1.14673157162726,"Austronesian",-27.113,-109.342,33,38,0.0129854632031857,"Oceania"
"vlax1238",1756,2329,"vlax1238",84,170,0.494117647058824,0.753971661657364,"Indo-European",46.8191,14.8451,71,103,0.00816717954778555,"Europe"
"roma1327",4758,5154,"roma1327",93,137.5,0.676363636363636,0.923166472642608,"Indo-European",46.3913,24.2256,71,108,0.00701373831332556,"Europe"
"rotu1241",2589,2708,"rotu1241",147,119.5,1.23012552301255,0.956056129985229,"Austronesian",-12.5008,177.066,41,188,0.0192703616297591,"Oceania"
"ruma1248",1622,2253,"ruma1248",53.5,91.5,0.584699453551913,0.719928983577452,"Austroasiatic",23.6404,97.3172,59,146,0.012746097297397,"Southeast Asia"
"russ1263",3010,4900,"russ1263",144.5,316,0.457278481012658,0.614285714285714,"Indo-European",59,50,77,121,0.0053805347553613,"Inner Asia"
"rutu1240",3168,4194,"rutu1240",70,149,0.469798657718121,0.755364806866953,"Nakh-Daghestanian",41.6187,47.3244,69,120,0.00676271497804973,"Greater Mesopotamia"
"yaku1245",3049,3441,"yaku1245",70,92,0.760869565217391,0.886079628015112,"Turkic",61.6974,133.98,79,165,0.00413184070843046,"Inner Asia"
"samr1245",2422,4323,"samr1245",53,102,0.519607843137255,0.560259079343049,"Austroasiatic",13.479,103.978,54,150,0.0178368073076923,"Southeast Asia"
"sana1281",7451,7744,"sana1281",NA,NA,NA,0.962164256198347,"Lengua-Mascoy",-22.1145,-58.907,36,64,0.0127236530881896,"SE South America"
"gree1278",2144,2518,"gree1278",49.3333333333333,72.3333333333333,0.682027649769585,0.851469420174742,"Tai-Kadai",22.5632,104.698,59,150,0.0138881765689588,"Southeast Asia"
"sara1340",2678,2549,"sara1340",86.5,115.5,0.748917748917749,1.05060808160063,"Indo-European",4.54729,-54.0238,49,67,0.0165324640850816,"NE South America"
"west2376",3301,4432,"west2376",NA,NA,NA,0.744810469314079,"Indo-European",NA,NA,NA,NA,NA,"Europe"
"onaa1245",1580,2240,"onaa1245",104,189,0.55026455026455,0.705357142857143,"Chonan",-54,-68.5,19,59,0.00474205262567988,"SE South America"
"selk1253",3026,3817,"selk1253",84,141,0.595744680851064,0.792769190463715,"Uralic",59.9409,82.3004,78,138,0.00479117462160062,"Inner Asia"
"sout1528",4004,5579,"sout1528",NA,NA,NA,0.717691342534504,"Indo-European",NA,NA,NA,NA,NA,"Greater Mesopotamia"
"seri1257",3136,3769,"seri1257",52,77,0.675324675324675,0.832050941894402,"F 12",28.9877,-112.384,62,36,0.0095407068548951,"Mesoamerica"
"shan1277",2262,5111,"shan1277",47,100.2,0.469061876247505,0.442574838583447,"Tai-Kadai",21.5995,98.0342,58,146,0.0141072945345765,"Southeast Asia"
"ship1254",3271,2764,"ship1254",118,131.5,0.897338403041825,1.18342981186686,"Panoan",-7.17105,-74.8219,43,56,0.0141445273038073,"NE South America"
"sion1247",3076,2566,"sion1247",112,151,0.741721854304636,1.1987529228371,"Tucanoan",0.31733,-76.0237,47,55,0.0147417203554779,"Andean"
"siri1273",3434,2064,"siri1273",120,134,0.895522388059702,1.66375968992248,"Tupian",-15.5298,-63.9688,39,61,0.0145083481002331,"NE South America"
"sout2746",1564,3445,"sout2746",51,122,0.418032786885246,0.453991291727141,"Tai-Kadai",6.85668,99.7031,51,147,0.0186122979409479,"Southeast Asia"
"stan1288",3868,4841,"stan1288",270,345,0.782608695652174,0.79900846932452,"Indo-European",40.4414,-1.11788,68,94,0.00720625018162393,"Europe"
