"","S.Vowels","S.Consonants","glotto","asjp.Vowels","asjp.Consonants","asjp.VProp","S.VProp","family","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","autotyp.area"
"ache1246",2571,2176,"ache1246",111,136,0.816176470588235,1.18152573529412,"Tupian",-25.5865,-56.4697,34,65,0.0138442504421134,"SE South America"
"aghu1253",2516,3548,"aghu1253",77,206,0.37378640776699,0.70913190529876,"Nakh-Daghestanian",41.9242,47.5843,69,120,0.00676271497804973,"Greater Mesopotamia"
"agua1253",3432,3416,"agua1253",162.5,210,0.773809523809524,1.00468384074941,"Jivaroan",-5.30044,-77.9218,44,54,0.0127244460359363,"Andean"
"aheu1239",1452,4059,"aheu1239",64,111,0.576576576576577,0.357723577235772,"Austroasiatic",17.7655,104.229,56,150,0.0168488287801088,"Southeast Asia"
"akhv1239",4332,4637,"akhv1239",105.333333333333,201,0.524046434494196,0.934224714254906,"Nakh-Daghestanian",42.4003,46.3037,69,119,0.00654397926787102,"Greater Mesopotamia"
"tosk1239",3260,4574,"tosk1239",118.5,241.5,0.490683229813665,0.712724092697857,"Indo-European",41,20,68,105,0.0107165001522922,"Europe"
"andi1255",3272,3833,"andi1255",93.5,177.5,0.526760563380282,0.853639446908427,"Nakh-Daghestanian",42.8078,46.2919,69,119,0.00654397926787102,"Greater Mesopotamia"
"arao1248",3022,2367,"arao1248",113,127,0.889763779527559,1.27672158850866,"Tacanan",-12.4242,-67.7293,41,59,0.0157988930594406,"NE South America"
"arch1244",2094,3163,"arch1244",59,123.5,0.477732793522267,0.662029718621562,"Nakh-Daghestanian",42.3239,46.8267,69,120,0.00676271497804973,"Greater Mesopotamia"
"east2283",3036,5013,"east2283",NA,NA,NA,0.605625374027528,"Indo-European",NA,NA,NA,NA,NA,"Greater Mesopotamia"
"avar1256",3344,4228,"avar1256",65.75,146.375,0.449188727583262,0.790917691579943,"Nakh-Daghestanian",41.7047,46.558,69,119,0.00654397926787102,"Greater Mesopotamia"
"cent2142",2601,2530,"cent2142",94.5,120.25,0.785862785862786,1.02806324110672,"Aymara",-17,-68.5,38,59,0.00749582190637141,"Andean"
"ayor1240",5498,3351,"ayor1240",134.5,153,0.879084967320261,1.64070426738287,"Zamucoan",-19.2201,-60.2175,37,63,0.0132874010336053,"SE South America"
"nort2697",4380,4822,"nort2697",62.6666666666667,98,0.639455782312925,0.908336789713812,"Turkic",40.9777,46.4737,68,119,0.00644226019327894,"Greater Mesopotamia"
"bagv1239",3470,4097,"bagv1239",94,192,0.489583333333333,0.84696119111545,"Nakh-Daghestanian",42.3966,46.1041,69,119,0.00654397926787102,"Greater Mesopotamia"
"bari1297",1616,1305,"bari1297",87.6666666666667,102.666666666667,0.853896103896104,1.23831417624521,"Chibchan",9.08497,-72.9353,52,57,0.0161849298717949,"NE South America"
"basq1248",2368,2496,"basq1248",386,588,0.656462585034014,0.948717948717949,"F 1",43.2787,-1.31622,69,94,0.0067097332024087,"Europe"
"beng1280",3170,3523,"beng1280",71,129,0.550387596899225,0.899801305705365,"Indo-European",24,90,59,142,0.015961299199495,"Indic"
"bezh1248",2725,2859,"bezh1248",66.5,91,0.730769230769231,0.953130465197622,"Nakh-Daghestanian",42.1206,46.0332,69,119,0.00654397926787102,"Greater Mesopotamia"
"botl1242",3100,3444,"botl1242",84,151,0.556291390728477,0.900116144018583,"Nakh-Daghestanian",42.7658,46.1944,69,119,0.00654397926787102,"Greater Mesopotamia"
"bret1244",3437,5139,"bret1244",64,122,0.524590163934426,0.66880716092625,"Indo-European",48.2452,-3.78934,72,93,0.00872852062567988,"Europe"
"budu1248",3404,4326,"budu1248",65,111,0.585585585585586,0.786870087840962,"Nakh-Daghestanian",41.2272,48.3353,68,120,0.00703468112956488,"Greater Mesopotamia"
"blan1242",2082,3355,"blan1242",62,106,0.584905660377358,0.620566318926975,"Austroasiatic",22.0092,99.7405,58,147,0.013646793977467,"Southeast Asia"
"bulg1262",4148,6478,"bulg1262",73,111,0.657657657657658,0.640321086755171,"Indo-European",43.3646,25.047,69,108,0.00697476707983683,"Europe"
"pano1254",2778,2449,"pano1254",75,82,0.914634146341463,1.13434054716211,"Panoan",-7.97456,-71.5615,43,57,0.0174648897280497,"NE South America"
"cavi1250",3281,2272,"cavi1250",186.5,182.5,1.02191780821918,1.44410211267606,"Tacanan",-13.3544,-66.6277,40,60,0.0150913899708625,"NE South America"
"chac1249",3731,3663,"chac1249",214,250,0.856,1.01856401856402,"Barbacoan",0.71489,-79.0508,47,53,0.0158830371212121,"Andean"
"cayu1262",2999,2644,"cayu1262",159,193,0.823834196891192,1.13426626323752,"F 2",-13.2482,-65.4822,40,61,0.0164177390423465,"NE South America"
"chew1245",1269,2408,"chew1245",50,123,0.40650406504065,0.526993355481728,"Austroasiatic",3.83331,102.081,49,149,0.0183690177583528,"Southeast Asia"
"chac1251",2521,2193,"chac1251",115,135,0.851851851851852,1.14956680346557,"Panoan",-12.133,-66.7164,41,60,0.0164328499067599,"NE South America"
"cham1309",3395,4024,"cham1309",104,211,0.492890995260663,0.843687872763419,"Nakh-Daghestanian",42.5024,45.995,69,119,0.00654397926787102,"Greater Mesopotamia"
"zaca1242",3012,3690,"zaca1242",72,171,0.421052631578947,0.816260162601626,"Otomanguean",16.08,-97.3069,55,44,0.0185971286849262,"Mesoamerica"
"chec1245",3218,3996,"chec1245",62.5,116.5,0.536480686695279,0.805305305305305,"Nakh-Daghestanian",43.5,45.5,69,119,0.00654397926787102,"Greater Mesopotamia"
"chip1262",1735,2460,"chip1262",74.3333333333333,139.666666666667,0.532219570405728,0.705284552845528,"Uru-Chipaya",-18.7395,-67.8963,37,59,0.00798657336868687,"Andean"
"east2555",3496,2611,"east2555",98,126,0.777777777777778,1.33895059364228,"Tupian",-21.0909,-61.7179,36,63,0.0134878018376068,"SE South America"
"west2394",905,1504,"west2394",NA,NA,NA,0.601728723404255,"Austroasiatic",NA,NA,NA,NA,NA,"Southeast Asia"
"chon1284",2474,4473,"chon1284",50,111.5,0.448430493273543,0.553096355913257,"Austroasiatic",12.5218,102.514,53,149,0.0189092131274281,"Southeast Asia"
"iyoj1235",4193,4097,"iyoj1235",127,181,0.701657458563536,1.02343177935074,"Matacoan",-22.1896,-63.2383,36,62,0.0123294733624709,"SE South America"
"cofa1242",4363,3619,"cofa1242",124,209,0.593301435406699,1.20558165239016,"F 3",0.276675,-77.0643,47,55,0.0147417203554779,"Andean"
"colo1256",2773,2633,"colo1256",204,251,0.812749003984064,1.05317128750475,"Barbacoan",-0.21181,-79.2347,47,53,0.0158830371212121,"Andean"
"cuoi1242",1487,3274,"cuoi1242",NA,NA,NA,0.454184483811851,"Austroasiatic",NA,NA,NA,NA,NA,"Southeast Asia"
