"","ISO","Language","Dialect","Genetics","Speakers","Method","Quantity","Harmony.","Vowels","Structure","Peripheral","Nonperipheral","F1Centroid","F1CentroidPosition","F1UCA","F2Centroid","F2CentroidPosition","F2UCA","combined.label","vnum","vowel","ps","f1","f2","f3","f4","id","f1.bark","f2.bark"
"276.1","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",1,"i","",332,1840,"","",276,3.35347294938918,12.4516842105263
"276.2","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",2,"e","",516,1846,"","",276,5.05722132471729,12.4734839726747
"276.3","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",3,"a","",625,1112,"","",276,5.9521083172147,9.17466145833333
"276.4","???","Akuntsu","","Tupian>Tupari","1","Running speech","Uniform","No",5,"4L1",4,1,"477","0.494880546","446.563","1435.25","0.545127353","1296.073","???  Running speech",4,"u","",435,943,"","",276,4.33945720250522,8.17886324491905
"1.1","aeb","Tunisian Arabic","Kairouan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","2","Wordlist","long","No",3,"3S0",3,0,"465","0.468208092","451.643","1616","0.540389972","1401.476","aeb Kairouan Wordlist",1,"i","",384,2276,"","",1,3.8620819112628,13.8749952785647
"1.2","aeb","Tunisian Arabic","Kairouan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","2","Wordlist","long","No",3,"3S0",3,0,"465","0.468208092","451.643","1616","0.540389972","1401.476","aeb Kairouan Wordlist",2,"æ","",557,1732,"","",1,5.40292411601112,12.0471722643554
"1.3","aeb","Tunisian Arabic","Kairouan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","2","Wordlist","long","No",3,"3S0",3,0,"465","0.468208092","451.643","1616","0.540389972","1401.476","aeb Kairouan Wordlist",3,"u","",454,840,"","",1,4.51214581607291,7.513
"2.1","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",1,"i","",363,2113,"2912","",2,3.65942315970727,13.3785514362877
"2.2","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",2,"e","",418,1917,"2634","",2,4.18260723296888,12.7263244776889
"2.3","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",3,"_","",446,1866,"2675","",2,4.4397672485453,12.5456560376372
"2.4","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",4,"a","",751,1446,"2451","",2,6.89689413500553,10.8520493247211
"2.5","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",5,"_","",542,1144,"2417","",2,5.27776179056755,9.35100515463918
"2.6","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",6,"o","",423,1064,"2137","",2,4.22897188417961,8.90314814814815
"2.7","afn","Defaka","","NigerCongo>Ijoid","12","Wordlist","Combined","No",7,"7S0",7,0,"469.5714286","0.308529309","503.137","1510.285714","0.447557942","1448.581","afn  Wordlist",7,"u","",344,1022,"2338","",2,3.47288194444444,8.65840375586855
"3.1","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",1,"i","",270,2325,"","",3,2.71605381165919,14.0168494749125
"3.2","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",2,"_","",355,2150,"","",3,3.58125269978402,13.494695863747
"3.3","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",3,"æ","",595,1615,"","",3,5.71342465753425,11.5813706293706
"3.4","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",4,"a","",605,1130,"","",3,5.79360623781676,9.27430420711974
"3.5","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",5,"_","",460,860,"","",3,4.56611570247934,7.64609929078014
"3.6","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",6,"u","",310,1110,"","",3,3.13127753303965,9.16351791530945
"3.7","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",7,"y","",250,2080,"","",3,2.50280542986425,13.2731683168317
"3.8","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",8,"œ","",455,1400,"","",3,4.52115942028985,10.6408333333333
"3.9","afr","Afrikaans","","IndoEuropean>Germanic>WestGermanic>LowFranconian","11","Isolation","Mixed","No",9,"6L3b",6,3,"423.3333333","0.488262911","388.805","1571.666667","0.485779295","1432.815","afr  Isolation",9,"_","",510,1475,"","",3,5.00566801619433,10.9822998544396
"4.1","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",1,"i","",250,2200,"","",4,2.50280542986425,13.6483653846154
"4.2","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",2,"e","",500,1900,"","",4,4.91918699186992,12.6666321243523
"4.3","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",3,"a","",700,1400,"","",4,6.52526315789474,10.6408333333333
"4.4","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",4,"o","",500,1150,"","",4,4.91918699186992,9.38366559485531
"4.5","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",5,"u","",250,950,"","",4,2.50280542986425,8.22240549828179
"4.6","aii","Assyrian Neo-Aramaic","Koine","AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern","1","Carrier sentence","Combined","No",6,"5S1",5,1,"425","0.388888889","425.95","1566.666667","0.493333333","1438.75","aii Koine Carrier sentence",6,"_","",350,1800,"","",4,3.53212121212121,12.3045744680851
"6.1","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Long","No",5,"5S0",5,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",1,"i","",315,2210,"","",6,3.18215384615385,13.6786570743405
"6.2","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Long","No",5,"5S0",5,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",2,"e","",395,1955,"","",6,3.9667940552017,12.8578799489144
"6.3","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Long","No",5,"5S0",5,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",3,"a","",630,1280,"","",6,5.99135135135135,10.0616049382716
"6.4","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Long","No",5,"5S0",5,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",4,"o","",430,980,"","",6,4.29355648535565,8.40666666666667
"6.5","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Long","No",5,"5S0",5,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",5,"u","",375,885,"","",6,3.77567451820128,7.80984182776801
"5.1","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Short","No",3,"3S0",3,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",1,"i","",360,2090,"","",5,3.6301724137931,13.3052839506173
"5.2","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Short","No",3,"3S0",3,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",2,"a","",620,1325,"","",5,5.91271317829457,10.2837747336377
"5.3","ajp","Palestinian Arabic","Jordan","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","8","Isolation","Short","No",3,"3S0",3,0,"443.125","0.406746032","438.165","1475.625","0.445754717","1403.075","ajp Jordan Isolation",3,"u","",420,1080,"","",5,4.20117647058823,8.9946052631579
"7.1","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",1,"i","",260,2141,"2678","3565",7,2.60990990990991,13.4666374055109
"7.2","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",2,"_","",309,1785,"2438","3640",7,3.1210753635963,12.2485981308411
"7.3","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",3,"e","",311,1875,"2498","3605",7,3.14147071774549,12.577887874837
"7.4","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",4,"_","",458,1564,"2430","4000",7,4.54815550041356,11.368649262202
"7.5","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",5,"a","",630,1319,"2137","3460",7,5.99135135135135,10.2545044220799
"7.6","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",6,"_","",524,1108,"2065","3415",7,5.12557165861514,9.15235984354628
"7.7","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",7,"o","",423,1293,"2455","3360",7,4.22897188417961,10.1264186904396
"7.8","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",8,"_","",410,1198,"2195","3170",7,4.10801687763713,9.64048131728942
"7.9","aka","Akan","Kwawu","NigerCongo>AtlanticCongo>Kwa>Akan","1","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"403.4444444","0.387687688","404.67","1451.444444","0.493346396","1312.151","aka Kwawu Carrier sentence",9,"u","",306,780,"2225","",7,3.09041482789056,7.10204379562044
"8.1","ale","Aleut","","EskimoAleut>AleutGroup","4","Wordlist","Long","No",3,"3S0",3,0,"481.6666667","0.329457364","508.13","1538.333333","0.432400932","1479.13","ale  Wordlist",1,"i","",340,2350,"","",8,3.43321739130435,14.0879814385151
"8.2","ale","Aleut","","EskimoAleut>AleutGroup","4","Wordlist","Long","No",3,"3S0",3,0,"481.6666667","0.329457364","508.13","1538.333333","0.432400932","1479.13","ale  Wordlist",2,"a","",770,1210,"","",8,7.03179487179487,9.70347003154574
"8.3","ale","Aleut","","EskimoAleut>AleutGroup","4","Wordlist","Long","No",3,"3S0",3,0,"481.6666667","0.329457364","508.13","1538.333333","0.432400932","1479.13","ale  Wordlist",3,"u","",375,920,"","",8,3.77567451820128,8.03430555555556
"9.1","ale","Aleut","","EskimoAleut>AleutGroup","4","Wordlist","Short","No",3,"3S0",3,0,"481.6666667","0.329457364","508.13","1538.333333","0.432400932","1479.13","ale  Wordlist",1,"i","",350,2290,"","",9,3.53212121212121,13.9158588235294
"9.2","ale","Aleut","","EskimoAleut>AleutGroup","4","Wordlist","Short","No",3,"3S0",3,0,"481.6666667","0.329457364","508.13","1538.333333","0.432400932","1479.13","ale  Wordlist",2,"a","",630,1540,"","",9,5.99135135135135,11.2664
"9.3","ale","Aleut","","EskimoAleut>AleutGroup","4","Wordlist","Short","No",3,"3S0",3,0,"481.6666667","0.329457364","508.13","1538.333333","0.432400932","1479.13","ale  Wordlist",3,"u","",425,920,"","",9,4.24746331236897,8.03430555555556
"10.1","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Long","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",1,"i","",255,2200,"3060","",10,2.55647855530474,13.6483653846154
"10.2","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Long","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",2,"e","",360,2040,"2585","",10,3.6301724137931,13.1431
"10.3","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Long","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",3,"a","",640,1235,"2455","",10,6.06938461538461,9.83317683881064
"10.4","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Long","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",4,"o","",490,950,"2400","",10,4.832,8.22240549828179
"10.5","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Long","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",5,"u","",295,700,"2335","",10,2.97729490022173,6.52526315789474
"10.6","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Long","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",6,"y","",255,2000,"2400","",10,2.55647855530474,13.010404040404
"11.1","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Short","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",1,"_","",300,2215,"2700","",11,3.02884955752212,13.693748502994
"11.2","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Short","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",2,"_","",467,1875,"2590","",11,4.62874330449114,12.577887874837
"11.3","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Short","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",3,"a","",640,1415,"2525","",11,6.06938461538461,10.7103407407407
"11.4","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Short","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",4,"_","",490,1150,"2350","",11,4.832,9.38366559485531
"11.5","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Short","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",5,"_","",340,1025,"2365","",11,3.43321739130435,8.67611390284757
"11.6","aln","Gheg Albanian","","IndoEuropean>Albanian","1","Wordlist","Short","No",6,"5S1",5,1,"403.25","0.385064935","405.535","1556.833333","0.565566557","1292.365","aln  Wordlist",6,"_","",307,1877,"2392","",11,3.1006440229378,12.5850299713318
"12.1","amh","Amharic","Standard","AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba","6","Wordlist","Uniform","No",7,"5S2a",5,2,"405.2857143","0.315966387","437.175","1453.285714","0.480694981","1333.812","amh Standard Wordlist",1,"i","",271,2145,"","",12,2.72661586732407,13.4791230207065
"12.2","amh","Amharic","Standard","AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba","6","Wordlist","Uniform","No",7,"5S2a",5,2,"405.2857143","0.315966387","437.175","1453.285714","0.480694981","1333.812","amh Standard Wordlist",2,"e","",423,1965,"","",12,4.22897188417961,12.892076433121
"12.3","amh","Amharic","Standard","AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba","6","Wordlist","Uniform","No",7,"5S2a",5,2,"405.2857143","0.315966387","437.175","1453.285714","0.480694981","1333.812","amh Standard Wordlist",3,"a","",696,1255,"","",12,6.49551204819277,9.9354898911353
"12.4","amh","Amharic","Standard","AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba","6","Wordlist","Uniform","No",7,"5S2a",5,2,"405.2857143","0.315966387","437.175","1453.285714","0.480694981","1333.812","amh Standard Wordlist",4,"o","",378,1010,"2391","",12,3.80455089820359,8.58720538720539
"12.5","amh","Amharic","Standard","AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba","6","Wordlist","Uniform","No",7,"5S2a",5,2,"405.2857143","0.315966387","437.175","1453.285714","0.480694981","1333.812","amh Standard Wordlist",5,"u","",291,813,"2242","",12,2.93588627276766,7.33027046520014
"12.6","amh","Amharic","Standard","AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba","6","Wordlist","Uniform","No",7,"5S2a",5,2,"405.2857143","0.315966387","437.175","1453.285714","0.480694981","1333.812","amh Standard Wordlist",6,"_","",312,1483,"","",12,3.15165492957746,11.0178449027011
"12.7","amh","Amharic","Standard","AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba","6","Wordlist","Uniform","No",7,"5S2a",5,2,"405.2857143","0.315966387","437.175","1453.285714","0.480694981","1333.812","amh Standard Wordlist",7,"_","",466,1502,"","",12,4.61981863149217,11.1016060080878
"13.1","ami","Amis","","Austronesian>Ami","2","Wordlist","Uniform","No",3,"3S0",3,0,"541.6666667","0.449799197","517.265","1556.666667","0.415716096","1524.165","ami  Wordlist",1,"i","",355,2325,"","",13,3.58125269978402,14.0168494749125
"13.2","ami","Amis","","Austronesian>Ami","2","Wordlist","Uniform","No",3,"3S0",3,0,"541.6666667","0.449799197","517.265","1556.666667","0.415716096","1524.165","ami  Wordlist",2,"a","",770,1335,"","",13,7.03179487179487,10.3323216995448
"13.3","ami","Amis","","Austronesian>Ami","2","Wordlist","Uniform","No",3,"3S0",3,0,"541.6666667","0.449799197","517.265","1556.666667","0.415716096","1524.165","ami  Wordlist",3,"u","",500,1010,"","",13,4.91918699186992,8.58720538720539
"14.1","amu","Amuzgo","Guerrero","OtoManguean>Amuzgo","3","Wordlist","Uniform","No",7,"7S0",7,0,"470.8571429","0.467478467","434.071","1414.428571","0.411691153","1386.061","amu Guerrero Wordlist",1,"i","",246,2221,"3021","",14,2.45969174977335,13.7118105716336
"14.2","amu","Amuzgo","Guerrero","OtoManguean>Amuzgo","3","Wordlist","Uniform","No",7,"7S0",7,0,"470.8571429","0.467478467","434.071","1414.428571","0.411691153","1386.061","amu Guerrero Wordlist",2,"e","",410,1993,"2689","",14,4.10801687763713,12.98690614723
"14.3","amu","Amuzgo","Guerrero","OtoManguean>Amuzgo","3","Wordlist","Uniform","No",7,"7S0",7,0,"470.8571429","0.467478467","434.071","1414.428571","0.411691153","1386.061","amu Guerrero Wordlist",3,"æ","",620,1722,"2516","",14,5.91271317829457,12.0085171102662
"14.4","amu","Amuzgo","Guerrero","OtoManguean>Amuzgo","3","Wordlist","Uniform","No",7,"7S0",7,0,"470.8571429","0.467478467","434.071","1414.428571","0.411691153","1386.061","amu Guerrero Wordlist",4,"a","",727,1299,"2339","",14,6.72376628209899,10.1561583307763
"14.5","amu","Amuzgo","Guerrero","OtoManguean>Amuzgo","3","Wordlist","Uniform","No",7,"7S0",7,0,"470.8571429","0.467478467","434.071","1414.428571","0.411691153","1386.061","amu Guerrero Wordlist",5,"_","",590,965,"2302","",14,5.67309803921569,8.31500854700855
"14.6","amu","Amuzgo","Guerrero","OtoManguean>Amuzgo","3","Wordlist","Uniform","No",7,"7S0",7,0,"470.8571429","0.467478467","434.071","1414.428571","0.411691153","1386.061","amu Guerrero Wordlist",6,"o","",392,851,"2745","",14,3.93833333333333,7.58643898968339
"14.7","amu","Amuzgo","Guerrero","OtoManguean>Amuzgo","3","Wordlist","Uniform","No",7,"7S0",7,0,"470.8571429","0.467478467","434.071","1414.428571","0.411691153","1386.061","amu Guerrero Wordlist",7,"u","",311,850,"2662","",14,3.14147071774549,7.57978647686833
"15.1","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Long","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",1,"i","",339,2092,"2449","",15,3.42327968682036,13.3116880552813
"15.2","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Long","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",2,"e","",510,1754,"2338","",15,5.00566801619433,12.1314808831449
"15.3","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Long","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",3,"a","",654,1197,"2453","",15,6.17762815608263,9.63521064301552
"15.4","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Long","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",4,"o","",438,924,"2367","",15,4.36690575479566,8.05961165048544
"16.1","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Short","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",1,"i","",438,1749,"2420","",16,4.36690575479566,12.1124076570504
"16.2","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Short","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",2,"e","",521,1758,"2288","",16,5.09999193873438,12.146702528241
"16.3","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Short","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",3,"a","",616,1372,"2430","",16,5.88108695652174,10.5094117647059
"16.4","apw","Apache","Western","NaDene>Athabaskan>Southern>Southwestern","6","Wordlist","Short","No",4,"4L0",4,0,"499.625","0.509920635","462.165","1490.375","0.484910103","1380.688","apw Western Wordlist",4,"o","",481,1077,"2282","",16,4.75292093404342,8.97753045768851
"17.1","arg","Aragonese","Chistabino","IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean","1","Wordlist","Uniform","No",5,"5S0",5,0,"484","0.36","496.4","1422","0.470545455","1312.625","arg Chistabino Wordlist",1,"i","",340,2150,"","",17,3.43321739130435,13.494695863747
"17.2","arg","Aragonese","Chistabino","IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean","1","Wordlist","Uniform","No",5,"5S0",5,0,"484","0.36","496.4","1422","0.470545455","1312.625","arg Chistabino Wordlist",2,"e","",475,1900,"","",17,4.69987679671458,12.6666321243523
"17.3","arg","Aragonese","Chistabino","IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean","1","Wordlist","Uniform","No",5,"5S0",5,0,"484","0.36","496.4","1422","0.470545455","1312.625","arg Chistabino Wordlist",3,"a","",740,1425,"","",17,6.81792592592593,10.7563367799114
"17.4","arg","Aragonese","Chistabino","IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean","1","Wordlist","Uniform","No",5,"5S0",5,0,"484","0.36","496.4","1422","0.470545455","1312.625","arg Chistabino Wordlist",4,"o","",480,860,"","",17,4.74409836065574,7.64609929078014
"17.5","arg","Aragonese","Chistabino","IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean","1","Wordlist","Uniform","No",5,"5S0",5,0,"484","0.36","496.4","1422","0.470545455","1312.625","arg Chistabino Wordlist",5,"u","",385,775,"","",17,3.87164179104478,7.06698354661792
"18.1","ary","Moroccan Arabic","","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","10","Isolation","Long","No",3,"3S0",3,0,"433.3333333","0.403755869","428.805","1371.666667","0.418390805","1331.95","ary  Isolation",1,"i","",290,2215,"","",18,2.92551111111111,13.693748502994
"18.2","ary","Moroccan Arabic","","AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic","10","Isolation","Long","No",3,"3S0",3,0,"433.3333333","0.403755869","428.805","1371.666667","0.418390805","1331.95","ary  Isolation",2,"a","",645,1135,"","",18,6.10817658349328,9.30177705977383
