"","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore"
"1","!Xóõ","nmn","gm","1379",TRUE,3,28,161,34,133,"huaa1248","Tuu",-24.20022,20.79583,34,106,0.00558099057711733,"Tuu","Tuu","S Africa",23
"2","!XU","ktz","upsid","432",TRUE,0,46,141,56,95,"juho1239","Kxa",-19.688,20.7673,37,106,0.00846376807672883,"Kxa","Kxa","S Africa",28
"3","Aari","aiw","gm","1483",TRUE,0,10,36,16,26,"aari1239","South Omotic",5.95034,36.5721,50,114,0.0141407516427739,"South Omotic","South Omotic","Greater Abyssinia",23
"4","Abau","aau","ph","1160",TRUE,0,5,14,10,9,"abau1245","Sepik",-3.97222,141.324,45,169,0.0175709102758353,"Sepik","Sepik","N Coast New Guinea",21
"5","Abidji","abi","gm","1526",TRUE,2,15,38,22,23,"abid1235","Atlantic-Congo",5.65656,-4.58421,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"6","Abipon","axb","saphon","1914",TRUE,0,10,23,15,13,"abip1241","Guaicuruan",-29,-61,32,63,0.0092116198010878,"Guaicuruan","Guaicuruan","SE South America",27
"7","Abkhaz","abk","ea","2468",TRUE,0,2,62,8,60,"abkh1244","Abkhaz-Adyge",43.056218,41.159115,69,117,0.00726890632167832,"Abkhaz-Adyge","Abkhaz-Adyge","Greater Mesopotamia",26
"8","Abua","abn","gm","1297",TRUE,3,10,40,20,30,"abua1244","Atlantic-Congo",4.83057,6.61492,49,98,0.0183740472494172,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"9","Abulas","abt","ph","1159",TRUE,0,7,24,15,17,"ambu1247","Ndu",-3.7801,143.059,45,170,0.0174953291414141,"Ndu","Ndu","N Coast New Guinea",21
"10","Abure","abu","gm","1521",TRUE,4,14,38,21,24,"abur1243","Atlantic-Congo",5.21534,-3.64123,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"11","Acehnese","ace","ph","1093",TRUE,0,34,55,42,21,"achi1257","Austronesian",3.90757,96.6032,49,146,0.0178769787839938,"Austronesian","Austronesian","Southeast Asia",21
"12","Achagua","aca","saphon","1803",TRUE,0,10,29,16,19,"acha1250","Arawakan",4.38649,-72.2005,49,57,0.0163750072358197,"Arawakan","Arawakan","NE South America",27
"13","Achang","acn","ea","2548",TRUE,0,17,59,27,42,"acha1249","Sino-Tibetan",24.3479,97.7438,60,146,0.0126802326109169,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",26
"14","Aché","guq","saphon","2068",TRUE,0,12,34,18,22,"ache1246","Tupian",-25.5865,-56.4697,34,65,0.0138442504421134,"Tupian","Tupian","SE South America",27
"15","Acholi","ach","gm","1433",TRUE,3,9,29,17,20,"acol1236","Nilotic",3.57738,32.5147,49,112,0.015005820452603,"Nilotic","Nilotic","S Africa",23
"16","Achuar-Shiwiar","acu","saphon","1946",TRUE,0,12,27,18,15,"achu1248","Chicham",-2.82646,-77.2641,46,54,0.0133793786596737,"Chicham","Chicham","NE South America",27
"17","ACHUMAWI","acv","upsid","199",TRUE,0,6,23,12,17,"achu1247","Palaihnihan",41.0979,-121.191,68,31,0.00723793702991453,"Palaihnihan","Palaihnihan","Basin and Plains",28
"18","ACOMA","kjq","upsid","413",TRUE,0,12,51,22,39,"west2632","Keresan",34.9733,-107.517,65,39,0.00513874003457653,"Keresan","Keresan","Basin and Plains",28
"19","Adamawa Fulfulde; Adamawa Fulani","fub","ph","1234",TRUE,0,9,36,17,27,"adam1253","Atlantic-Congo",8.140326,13.077338,51,102,0.0144215465252525,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"20","Adang","adn","ph","1090",TRUE,0,22,40,28,18,"adan1251","Timor-Alor-Pantar",-8.18958,124.448,43,160,0.0180646842055167,"Timor-Alor-Pantar","Timor-Alor-Pantar","Oceania",21
"21","Adioukrou","adj","gm","1527",TRUE,4,7,32,15,25,"adio1239","Atlantic-Congo",5.38228,-4.52522,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"22","adja","ajg","aa","651",TRUE,5,12,45,20,33,"ajab1235","Atlantic-Congo",7.06634,1.64992,51,96,0.0176471657653458,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"23","Adyghe","ady","ea","2349",TRUE,0,3,59,8,56,"adyg1241","Abkhaz-Adyge",44,39.33,70,116,0.00911972341239316,"Abkhaz-Adyge","Abkhaz-Adyge","Greater Mesopotamia",26
"24","Adzera","adz","spa","41",TRUE,0,8,25,13,17,"adze1240","Austronesian",-6.39394,146.294,44,172,0.016431737020202,"Austronesian","Austronesian","N Coast New Guinea",24
"25","Afar","aar","gm","1342",TRUE,0,10,27,16,17,"afar1241","Afro-Asiatic",12.2281,41.8083,53,117,0.0114311249803807,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23
"26","Afitti","aft","gm","1295",TRUE,3,6,26,14,20,"afit1238","Nyimang",12.446,30.7611,53,111,0.0136004093560606,"Nyimang","Nyimang","African Savannah",23
"27","Afrikaans","afr","gm","1395",TRUE,0,23,39,29,16,"afri1274","Indo-European",-22,30,36,111,0.00985611311596737,"Indo-European","Indo-European","S Africa",23
"28","Agaw","ahg","ph","1161",TRUE,4,7,39,15,32,"qima1242","Afro-Asiatic",12.8119,37.0542,54,114,0.0137750757618493,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",21
"29","Aghem","agq","gm","1524",TRUE,2,19,49,27,30,"aghe1239","Atlantic-Congo",6.38956,10.0807,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"30","Agni Morofo","mtb","gm","1244",TRUE,4,15,49,23,34,"anyi1244","Atlantic-Congo",6.1627,-4.64232,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"31","Aguaruna","agr","saphon","1947",TRUE,0,8,20,11,12,"agua1253","Chicham",-5.30044,-77.9218,44,54,0.0127244460359363,"Chicham","Chicham","Andean",27
"32","Ahaan","ahn","gm","1544",TRUE,3,14,43,23,29,"ahan1244","Atlantic-Congo",7.44139,6.00896,51,98,0.017759444771756,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"33","Ahanta","aha","gm","1400",TRUE,2,14,40,22,26,"ahan1243","Atlantic-Congo",4.85147,-1.94657,50,94,0.018372138459596,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"34","Ahi","yix","ea","2560",TRUE,0,14,52,18,38,"axiy1235","Sino-Tibetan",24.6009,103.713,60,149,0.0116364705528361,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",26
"35","AHTNA","aht","upsid","206",TRUE,0,5,35,10,30,"ahte1237","Athapaskan-Eyak-Tlingit",61.7068,-144.889,79,19,0.00510713036188811,"Athapaskan-Eyak-Tlingit","Athapaskan-Eyak-Tlingit","Alaska-Oregon",28
"36","Ainu","ain","spa","196",TRUE,0,5,17,10,12,"ainu1240","Ainu",43.633654,142.46167,70,170,0.00688361181721057,"Ainu","Ainu","N Coast Asia",24
"37","AIZI","ahp","upsid","205",TRUE,0,9,33,16,24,"apro1235","Atlantic-Congo",5.20273,-4.52192,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",28
"38","Aizi, Tiagba","ahi","gm","1528",TRUE,0,8,32,15,24,"tiag1235","Atlantic-Congo",5.28022,-4.62352,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"39","aja","aja","gm","1250",TRUE,0,10,48,20,38,"ajas1235","Kresh-Aja",8.58003,25.6122,51,108,0.0156927114322067,"Kresh-Aja","Kresh-Aja","African Savannah",23
"40","Ajumbu","muc","gm","1619",TRUE,3,11,39,17,28,"mbuu1238","Atlantic-Congo",6.53792,10.2556,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"41","Akan","aka","gm","1245",TRUE,2,31,60,40,29,"akan1250","Atlantic-Congo",6.34756,-1.33254,50,94,0.018372138459596,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"42","Akasilimi","aks","gm","1572",TRUE,3,29,52,36,23,"akas1242","Atlantic-Congo",8.8858,1.37035,52,96,0.0158915132358197,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"43","Akha","ahk","ph","1162",TRUE,0,13,41,19,28,"akha1245","Sino-Tibetan",21.2309,100.964,58,148,0.0136582032284382,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",21
"44","Aklan","akl","ph","1095",TRUE,0,3,20,10,17,"akla1241","Austronesian",11.5543,122.354,53,159,0.01891040246115,"Austronesian","Austronesian","Oceania",21
"45","Akoose","bss","gm","1554",TRUE,2,12,32,18,20,"akoo1248","Atlantic-Congo",4.9243,9.65522,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"46","Akpes","ibe","gm","1532",TRUE,3,10,34,17,24,"akpe1248","Atlantic-Congo",7.50256,5.95559,51,98,0.017759444771756,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"47","Akuntsú","aqz","saphon","2069",TRUE,0,11,22,17,11,"akun1241","Tupian",-12.8322,-60.9716,40,63,0.0143314641008159,"Tupian","Tupian","NE South America",27
"48","Akurio","ako","saphon","1862",TRUE,0,14,24,19,10,"akur1238","Cariban",3.19607,-55.6294,49,66,0.0167495130089355,"Cariban","Cariban","NE South America",27
"49","Alaaba","alw","gm","1451",TRUE,0,11,62,24,51,"alab1254","Afro-Asiatic",7.39014,38.1732,51,115,0.0125021268723776,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23
"50","Alabama","akz","spa","79",TRUE,0,6,21,11,15,"alab1237","Muskogean",30.76738,-94.62848,63,45,0.0123361268989899,"Muskogean","Muskogean","E North America",24
"51","ALAMBLAK","amp","upsid","221",TRUE,0,7,25,13,18,"alam1246","Sepik",-4.66307,143.316,45,170,0.0174953291414141,"Sepik","Sepik","N Coast New Guinea",28
"52","Alawa","alh","spa","50",TRUE,0,5,28,17,23,"alaw1244","Mangarrayi-Maran",-15.5458,134.282,39,165,0.0108598537711733,"Mangarrayi-Maran","Mangarrayi-Maran","N Australia",24
"53","Albanian","als","spa","169",TRUE,0,7,35,14,28,"tosk1239","Indo-European",41,20,68,105,0.0107165001522922,"Indo-European","Indo-European","Europe",24
"54","Aleut","ale","spa","61",TRUE,0,6,36,18,30,"aleu1260","Eskimo-Aleut",52.1228,-174.29,74,3,0.00519763664957265,"Eskimo-Aleut","Eskimo-Aleut","N Coast Asia",24
"55","Alladian","ald","gm","1529",TRUE,2,12,36,18,24,"alla1248","Atlantic-Congo",5.22371,-4.42647,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"56","Alutor","alr","ea","2412",TRUE,0,6,27,15,21,"alut1245","Chukotko-Kamchatkan",60.3844,165.653,78,182,0.00425711045376845,"Chukotko-Kamchatkan","Chukotko-Kamchatkan","N Coast Asia",26
"57","Alyawarra","aly","ph","1163",TRUE,0,7,32,20,25,"alya1239","Pama-Nyungan",-21.0427,136.835,36,167,0.00595879877428127,"Pama-Nyungan","Pama-Nyungan","S Australia",21
"58","Amahuaca","amc","spa","120",TRUE,0,8,22,13,14,"amah1246","Pano-Tacanan",-10.2012,-72.3208,42,57,0.0159249024825175,"Pano-Tacanan","Pano-Tacanan","NE South America",24
"59","Amanab","amn","ph","1164",TRUE,0,5,19,11,14,"aman1265","Border",-3.51516,141.178,45,169,0.0175709102758353,"Border","Border","N Coast New Guinea",21
"60","Amarakaeri","amr","saphon","1920",TRUE,0,18,33,24,15,"amar1274","Harakmbut",-12.4931,-70.5533,41,58,0.0135846123902486,"Harakmbut","Harakmbut","NE South America",27
