"","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore"
"61","Ambele","ael","ph","1091",TRUE,3,10,51,18,41,"ambe1247","Atlantic-Congo",5.94043,9.62028,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"62","Ambon Malay","abs","gm","1684",TRUE,0,5,23,13,18,"ambo1250","Austronesian",-3.71342,128.184,45,162,0.018768042964258,"Austronesian","Austronesian","Oceania",23
"63","AMELE","aey","upsid","202",TRUE,0,5,20,9,15,"amel1241","Nuclear Trans New Guinea",-5.29126,145.687,44,171,0.0169529563714064,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","N Coast New Guinea",28
"64","Amharic","amh","uz","2156",TRUE,0,7,68,24,61,"amha1245","Afro-Asiatic",11.708182,39.543456,53,116,0.0111011396550117,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",22
"65","AMO","amo","upsid","220",TRUE,0,10,35,18,25,"amoo1242","Atlantic-Congo",10.3229,8.65405,52,100,0.0149418736264569,"Atlantic-Congo","Atlantic-Congo","African Savannah",28
"66","Amuesha","ame","spa","112",TRUE,0,6,29,14,23,"yane1238","Arawakan",-10.5454,-75.315,42,55,0.0101520904520202,"Arawakan","Arawakan","Andean",24
"67","Amundava","adw","saphon","2070",TRUE,0,12,26,18,14,"amun1246","Tupian",-9.04023,-62.3064,42,62,0.0167072345211733,"Tupian","Tupian","NE South America",27
"68","AMUZGO","amu","upsid","222",TRUE,0,12,37,20,25,"guer1243","Otomanguean",16.77226,-98.18953,56,43,0.0175253850854701,"Otomanguean","Otomanguean","Mesoamerica",28
"69","Ancash Quechua","qwa","saphon","2021",TRUE,0,6,24,14,18,"coro1247","Quechuan",-8.57647,-77.9864,43,54,0.0128832080780886,"Quechuan","Quechuan","Andean",27
"70","ANDAMANESE","apq","upsid","227",TRUE,0,8,24,16,16,"apuc1241","Great Andamanese",12.241,92.7965,53,144,0.018666048490676,"Great Andamanese","Great Andamanese","Southeast Asia",28
"71","Andi","ani","ea","2465",TRUE,0,5,68,11,63,"andi1255","Nakh-Daghestanian",42.8078,46.2919,69,119,0.00654397926787102,"Nakh-Daghestanian","Nakh-Daghestanian","Greater Mesopotamia",26
"72","Andoa","anb","saphon","2138",TRUE,0,10,25,15,15,"ando1255","Zaparoan",-3.29664,-76.6056,45,55,0.0152246995221445,"Zaparoan","Zaparoan","NE South America",27
"73","Aneityum; Anejom̃","aty","ph","1228",TRUE,0,5,26,14,21,"anei1239","Austronesian",-20.1864,169.825,37,184,0.0162276186208236,"Austronesian","Austronesian","Oceania",21
"74","Anfillo","myo","gm","1661",TRUE,0,10,48,21,38,"anfi1235","Ta-Ne-Omotic",8.568,34.647,51,113,0.0155598693094406,"Ta-Ne-Omotic","Ta-Ne-Omotic","Greater Abyssinia",23
"75","ANGAATIHA","agm","upsid","203",TRUE,0,9,21,16,12,"anga1290","Angan",-7.15012,146.352,43,172,0.0174866709770785,"Angan","Angan","Interior New Guinea",28
"76","Angami","njm","ra","1703",TRUE,0,6,44,22,38,"anga1288","Sino-Tibetan",25.6841,93.8668,60,144,0.0137841268422688,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",29
"77","Angas","anc","spa","125",TRUE,3,11,44,19,33,"ngas1240","Afro-Asiatic",9.32042,9.46146,52,100,0.0149418736264569,"Afro-Asiatic","Afro-Asiatic","African Savannah",24
"78","Angolar","aoa","gm","1551",TRUE,2,12,36,20,24,"ango1258","Indo-European",0.11438,6.59486,47,98,0.0176411452059052,"Indo-European","Indo-European","S Africa",23
"79","Anii","blo","gm","1658",TRUE,2,11,36,20,25,"anii1245","Atlantic-Congo",9.11127,1.60169,52,96,0.0158915132358197,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"80","Antiguan Creole","aig","ph","1094",TRUE,0,13,37,20,24,"anti1245","Indo-European",15.5531,-61.3156,55,63,0.0181364777758353,"Indo-European","Indo-European","NE South America",21
"81","anufɔ","cko","gm","1246",TRUE,2,14,59,26,45,"anuf1239","Atlantic-Congo",10.2839,0.56021,52,95,0.0159259896855089,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"82","Anyi Sanvi","any","gm","1242",TRUE,5,17,40,22,23,"anyi1245","Atlantic-Congo",6.31781,-3.30532,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"83","Anywa","anu","ph","1165",TRUE,4,24,47,33,23,"anua1242","Nilotic",7.57714,34.0267,51,113,0.0155598693094406,"Nilotic","Nilotic","Greater Abyssinia",21
"84","AO","njo","upsid","497",TRUE,0,6,20,12,14,"aona1235","Sino-Tibetan",26.3241,94.3824,61,145,0.0135883932876845,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",28
"85","Apalaí","apy","saphon","1863",TRUE,0,12,24,17,12,"apal1257","Cariban",1.49792,-54.7457,48,66,0.0174214727253302,"Cariban","Cariban","NE South America",27
"86","Apatani","apt","ra","1705",TRUE,0,13,37,23,24,"apat1240","Sino-Tibetan",27.1933,93.7284,61,144,0.0131466522327117,"Sino-Tibetan","Sino-Tibetan","Indic",29
"87","Apiaká","api","saphon","2071",TRUE,0,10,22,16,12,"apia1248","Tupian",-7.84711,-57.91,43,65,0.0173340307750583,"Tupian","Tupian","NE South America",27
"88","Apinaye","apn","spa","122",TRUE,0,35,49,36,14,"apin1244","Nuclear-Macro-Je",-6.10774,-47.6315,44,70,0.0170482715576923,"Nuclear-Macro-Je","Nuclear-Macro-Je","NE South America",24
"89","Apurinã","apu","ph","1092",TRUE,0,27,40,32,13,"apur1254","Arawakan",-8.21692,-66.7714,43,60,0.0169571367637918,"Arawakan","Arawakan","NE South America",21
"90","arabe","apd","aa","659",TRUE,0,8,62,20,54,"suda1236","Afro-Asiatic",17.8021,33.3179,56,112,0.00815219824261849,"Afro-Asiatic","Afro-Asiatic","N Africa",25
"91","Arabela","arl","saphon","2139",TRUE,0,10,29,18,19,"arab1268","Zaparoan",-1.96126,-75.0612,46,56,0.0181763194250194,"Zaparoan","Zaparoan","NE South America",27
"92","Arabic","arb","uz","2157",TRUE,0,6,37,13,31,"stan1318","Afro-Asiatic",27.9625,43.8525,61,118,0.00521351416083916,"Afro-Asiatic","Afro-Asiatic","N Africa",22
"93","Aragonese","arg","ph","1055",TRUE,0,25,45,33,20,"arag1245","Indo-European",42.4669,-0.00919,69,95,0.00735398520707071,"Indo-European","Indo-European","Europe",21
"94","Arandai","jbj","ph","1166",TRUE,0,5,18,8,13,"aran1237","South Bird's Head Family",-2.08016,132.983,46,165,0.0192423063752914,"South Bird's Head Family","South Bird's Head Family","N Coast New Guinea",21
"95","Araona","aro","saphon","2044",TRUE,0,4,23,10,19,"arao1248","Pano-Tacanan",-12.4242,-67.7293,41,59,0.0157988930594406,"Pano-Tacanan","Pano-Tacanan","NE South America",27
"96","Arapesh","aon","ph","1167",TRUE,0,7,22,11,15,"bumb1241","Nuclear Torricelli",-3.65508,142.859,45,170,0.0174953291414141,"Nuclear Torricelli","Nuclear Torricelli","N Coast New Guinea",21
"97","Arara do Acre","mcd","saphon","1999",TRUE,0,8,22,11,14,"shar1245","Pano-Tacanan",-9.8626,-71.1232,42,58,0.0179082257789433,"Pano-Tacanan","Pano-Tacanan","NE South America",27
"98","Arára, Pará","aap","saphon","1864",TRUE,0,6,17,13,11,"para1310","Cariban",-3.71263,-53.0657,45,67,0.0181739359343434,"Cariban","Cariban","NE South America",27
"99","Araucanian","arn","spa","106",TRUE,0,6,26,17,20,"mapu1245","Araucanian",-38.7392,-71.277,27,58,0.00599613614879565,"Araucanian","Araucanian","Andean",24
"100","Araweté","awt","saphon","2072",TRUE,0,9,21,14,12,"araw1273","Tupian",-4.90246,-52.5001,44,67,0.017534717975913,"Tupian","Tupian","NE South America",27
"101","Arbëresh Albanian","aae","ea","2438",TRUE,0,6,36,14,30,"arbe1236","Indo-European",38.911,16.7164,67,104,0.0110875902902098,"Indo-European","Indo-European","Europe",26
"102","Arbore","arv","gm","1525",TRUE,0,10,59,25,49,"arbo1245","Afro-Asiatic",4.92183,36.7986,50,114,0.0141407516427739,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23
"103","ARCHI","aqc","upsid","228",TRUE,0,10,91,16,81,"arch1244","Nakh-Daghestanian",42.3239,46.8267,69,120,0.00676271497804973,"Nakh-Daghestanian","Nakh-Daghestanian","Greater Mesopotamia",28
"104","Argobba","agj","gm","1396",TRUE,0,8,38,15,30,"argo1244","Afro-Asiatic",10.6596,39.756,53,116,0.0111011396550117,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23
"105","Arikapú","ark","saphon","1954",TRUE,0,14,25,19,11,"arik1265","Nuclear-Macro-Je",-12.4878,-62.7261,41,62,0.0149232652614608,"Nuclear-Macro-Je","Nuclear-Macro-Je","NE South America",27
"106","Aringa","luc","gm","1425",TRUE,5,9,49,18,40,"arin1244","Central Sudanic",3.56143,31.3071,49,111,0.0157265476068376,"Central Sudanic","Central Sudanic","S Africa",23
"107","Armenian","hye","spa","171",TRUE,0,7,37,12,30,"nucl1235","Indo-European",40,45,68,119,0.00644226019327894,"Indo-European","Indo-European","Greater Mesopotamia",24
"108","Arrarnte","are","ph","1235",TRUE,0,3,29,17,26,"west2441","Pama-Nyungan",-24.05052,133.24621,35,165,0.00504099964005439,"Pama-Nyungan","Pama-Nyungan","S Australia",21
"109","Arrernte, Central","aer","uz","2158",TRUE,0,5,31,18,26,"east2379","Pama-Nyungan",-23.3583,135.046,35,166,0.00526473209265734,"Pama-Nyungan","Pama-Nyungan","S Australia",22
"110","Asharon","acz","gm","1428",TRUE,0,20,38,30,18,"ache1245","Narrow Talodi",10.8827,30.3187,53,111,0.0136004093560606,"Narrow Talodi","Narrow Talodi","African Savannah",23
"111","Ashéninka","cpb","saphon","1810",TRUE,0,9,32,16,23,"ucay1237","Arawakan",-9.49424,-73.1836,42,57,0.0159249024825175,"Arawakan","Arawakan","NE South America",27
"112","Ashéninka","cpc","saphon","1807",TRUE,0,7,26,14,19,"ajyi1238","Arawakan",-9.82364,-74.61947,42,56,0.0116867569141414,"Arawakan","Arawakan","Andean",27
"113","Ashéninka","cpu","saphon","1809",TRUE,0,9,30,18,21,"pich1237","Arawakan",-10.47249,-74.60281,42,56,0.0116867569141414,"Arawakan","Arawakan","Andean",27
"114","Ashéninka","prq","saphon","1808",TRUE,0,10,28,17,18,"ashe1272","Arawakan",-10.9777,-74.9153,41,56,0.0096493647968143,"Arawakan","Arawakan","Andean",27
"115","Asmat","tml","spa","54",TRUE,0,5,19,9,14,"tamn1235","Nuclear Trans New Guinea",-5.57962,139.233,44,168,0.0189198293822844,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",24
"116","Assamese","asm","uz","2159",TRUE,0,10,33,17,23,"assa1263","Indo-European",26.0876,91.2932,60,143,0.0151366546365579,"Indo-European","Indo-European","Indic",22
"117","Asturian","ast","ea","2516",TRUE,0,5,26,12,21,"astu1245","Indo-European",42.4181,-6.02227,69,92,0.00744033382264957,"Indo-European","Indo-European","Europe",26
"118","Asuriní do Tocantins","asu","saphon","2074",TRUE,0,5,16,9,11,"toca1235","Tupian",-3.59359,-49.8991,45,69,0.018179752047397,"Tupian","Tupian","NE South America",27
"119","Asurini do Xingú","asn","saphon","2073",TRUE,0,11,27,17,16,"xing1248","Tupian",-4.13463,-52.321,45,68,0.0179785249222999,"Tupian","Tupian","NE South America",27
"120","Atayal","tay","spa","30",TRUE,0,8,27,15,19,"atay1247","Austronesian",24.5209,121.388,60,159,0.0157794366035354,"Austronesian","Austronesian","Southeast Asia",24
"121","Attie","ati","gm","1550",TRUE,8,15,47,20,32,"atti1239","Atlantic-Congo",5.9977,-3.8209,50,93,0.0183151742871018,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"122","Au","avt","ph","1169",TRUE,0,7,17,12,10,"auuu1241","Nuclear Torricelli",-3.53277,142.105,45,170,0.0174953291414141,"Nuclear Torricelli","Nuclear Torricelli","N Coast New Guinea",21
"123","Auyana","auy","spa","57",TRUE,3,6,20,13,14,"awiy1238","Nuclear Trans New Guinea",-6.54079,145.76,44,172,0.016431737020202,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",24
"124","Avá-Canoeiro","avv","saphon","2075",TRUE,0,12,24,18,12,"avac1239","Tupian",-13.6081,-48.1336,40,70,0.0140087350973193,"Tupian","Tupian","NE South America",27
"125","Avar","ava","ea","2467",TRUE,0,5,64,11,59,"avar1256","Nakh-Daghestanian",41.7047,46.558,69,119,0.00654397926787102,"Nakh-Daghestanian","Nakh-Daghestanian","Greater Mesopotamia",26
"126","Avatime","avn","gm","1296",TRUE,4,18,50,26,32,"avat1244","Atlantic-Congo",6.8688,0.41314,51,95,0.0175536528574204,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"127","Avikam","avi","gm","1358",TRUE,3,6,34,14,28,"avik1243","Atlantic-Congo",5.15838,-5.2529,50,92,0.0181313548445998,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"128","avokaya","avu","aa","660",TRUE,4,14,55,23,41,"avok1242","Central Sudanic",4.38639,29.9379,49,111,0.0157265476068376,"Central Sudanic","Central Sudanic","African Savannah",25
"129","Awa Pit","kwi","ph","1120",TRUE,0,7,21,13,14,"awac1239","Barbacoan",1.21652,-78.3401,48,54,0.0152617957770008,"Barbacoan","Barbacoan","Andean",21
"130","Awadhi","awa","ra","1707",TRUE,0,8,45,22,37,"awad1243","Indo-European",27.5907,82.4663,61,138,0.0116019221536519,"Indo-European","Indo-European","Indic",29
"131","Awara","awx","ph","1175",TRUE,0,6,25,12,19,"awar1248","Nuclear Trans New Guinea",-6.16986,146.372,44,172,0.016431737020202,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","N Coast New Guinea",21
"132","Awetí","awe","saphon","2076",TRUE,0,12,26,19,14,"awet1244","Tupian",-12.9336,-53.5852,40,67,0.0147937007618493,"Tupian","Tupian","NE South America",27
"133","Awing","azo","ph","1176",TRUE,0,17,56,27,39,"awin1248","Atlantic-Congo",5.88362,10.264,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"134","Awngi","awn","gm","1542",TRUE,3,6,39,14,33,"awng1244","Afro-Asiatic",10.9819,36.6916,53,114,0.0141717241503496,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23
"135","Awtuw","kmn","ph","1177",TRUE,0,7,18,14,11,"awtu1239","Sepik",-3.53129,141.928,45,170,0.0174953291414141,"Sepik","Sepik","N Coast New Guinea",21
"136","Ayacucho Quechua","quy","saphon","2032",TRUE,0,3,17,10,14,"ayac1239","Quechuan",-13.84714,-74.32246,40,56,0.0100835383754856,"Quechuan","Quechuan","Andean",27
"137","Aymara","ayr","saphon","1851",TRUE,0,6,32,14,26,"cent2142","Aymaran",-17,-68.5,38,59,0.00749582190637141,"Aymaran","Aymaran","Andean",27
"138","Aymara","jqr","spa","105",TRUE,0,6,42,15,36,"jaqa1244","Aymaran",-12.8823,-75.8958,40,55,0.0123469161936674,"Aymaran","Aymaran","Andean",24
"139","Ayoreo","ayo","saphon","2137",TRUE,0,10,30,20,20,"ayor1240","Zamucoan",-19.220055,-60.217495,37,63,0.0132874010336053,"Zamucoan","Zamucoan","SE South America",27
"140","Azerbaijani","azj","spa","187",TRUE,0,9,34,13,25,"nort2697","Turkic",40.9777,46.4737,68,119,0.00644226019327894,"Turkic","Turkic","Greater Mesopotamia",24
"141","Baba","bbw","ph","1178",TRUE,0,7,30,16,23,"baba1264","Atlantic-Congo",6.11222,10.5216,50,101,0.0163006410402098,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
