"","glotto","Language","area","numVowels","specH.mean","autotyp.area","family"
"29","bulg1262","Bulgarian",222161,6,0.00697476707983683,"Europe","Indo-European"
"30","bela1255","Viri",237782,6,0.0156155664749417,"African Savannah","Atlantic-Congo"
"31","bura1267","Burarra",165112.5,5,0.0157685866274281,"N Australia","Maningrida"
"32","dibo1245","Dibole",360585.5,7,0.0174543833411033,"S Africa","Atlantic-Congo"
"33","stan1289","Catalan",626298.5,7,0.0106998465027195,"Europe","Indo-European"
"34","taba1266","Chontal",281930,5,0.0159898933411033,"Mesoamerica","Mayan"
"35","cher1273","Cherokee",243578.5,12,0.0109261364413364,"E North America","Iroquoian"
"36","chuv1255","Chuvash",244087.5,9,0.00547449185635198,"Inner Asia","Turkic"
"37","chic1270","Chickasaw",127797,6,0.0090554159496892,"E North America","Muskogean"
"38","mand1415","Mandarin",428382,5,0.00668135333974359,"Southeast Asia","Sino-Tibetan"
"39","nort2722","Northern Qiang",146462.5,4,0.00705218608838384,"Southeast Asia","Sino-Tibetan"
"40","tepe1279","Tepetotutla Chinantec",330802.5,7,0.0161145737160062,"Mesoamerica","Otomanguean"
"41","chon1284","Chong",457300,18,0.0189092131274281,"Southeast Asia","Austroasiatic"
"42","wels1247","Welsh",572557.5,14,0.00731829428146853,"Europe","Indo-European"
"43","dani1285","Danish",354099,10,0.0063776429949495,"Europe","Indo-European"
"44","dido1241","Tsez",313133.5,5,0.00654397926787102,"Greater Mesopotamia","Nakh-Daghestanian"
"45","dege1246","Degema",313136.5,10,0.0185134842851593,"African Savannah","Atlantic-Congo"
"46","stan1295","German",350079,8,0.00657705152700078,"Europe","Indo-European"
"47","dogr1250","Dogri",371964,10,0.0110403132074592,"Indic","Indo-European"
"48","sout2833","Southern Dinka",231758,7,0.015742162248446,"African Savannah","Nilotic"
"49","didi1258","Didinga",259140,10,0.0144831693420746,"African Savannah","Surmic"
"50","sout2832","Southwestern Dinka",335798.5,13,0.0148591820174825,"African Savannah","Nilotic"
"51","sout2834","Eastern Dinka",236925,7,0.0158862899292929,"African Savannah","Nilotic"
"52","darm1243","Darma",194050,6,0.0112683775868298,"Indic","Sino-Tibetan"
"53","ruka1240","Rukai",185837.5,4,0.0170971378360528,"Southeast Asia","Austronesian"
"54","dumb1241","Ndumbea",322624.5,7,0.0150983943958819,"Oceania","Austronesian"
"55","jola1263","Diola",448724.5,10,0.0150291238704351,"African Savannah","Atlantic-Congo"
"56","emil1241","Emilian",525449,9,0.00965514896328671,"Europe","Indo-European"
"57","esto1258","Estonian",340961,15,0.00575451485742036,"Inner Asia","Uralic"
"58","mode1248","Greek",219121,5,0.00697476707983683,"Europe","Indo-European"
"59","stan1293","English",383938,7,0.00714047989918415,"Europe","Indo-European"
"60","eton1253","Eton",175112.5,8,0.0171731030205905,"African Savannah","Atlantic-Congo"
"61","basq1248","Basque",290262,5,0.0067097332024087,"Europe","basq1248"
"62","even1259","Solon",332665.5,10,0.00493750158238151,"Inner Asia","Tungusic"
"63","finn1318","Finnish",380322,16,0.00509239603632479,"Inner Asia","Uralic"
"64","kali1308","Montana Salish",211319.5,5,0.00509564679700855,"Basin and Plains","Salishan"
"65","fefe1239","Fe'fe'",580000,8,0.0174789068939394,"African Savannah","Atlantic-Congo"
"66","food1238","Foodo",420492,9,0.0158915132358197,"African Savannah","Atlantic-Congo"
"67","stan1290","French",325637.5,11,0.00749480334362859,"Europe","Indo-European"
"68","nort2626","North Frisian",425893,15,0.0063776429949495,"Europe","Indo-European"
"69","west2354","Frisian",439622,9,0.00702505466802642,"Europe","Indo-European"
"70","gagu1242","Gban",262650,7,0.0181313548445998,"African Savannah","Mande"
"71","scot1245","Scottish Gaelic",237300,9,0.00680914124222999,"Europe","Indo-European"
"72","gali1258","Galician",339592.5,7,0.00878987800058275,"Europe","Indo-European"
"73","para1311","Paraguayan Guarani",337100,6,0.0138442504421134,"SE South America","Tupian"
"74","guja1252","Gujarati",479847,6,0.016348565530303,"Indic","Indo-European"
"75","gumu1244","Gumuz",191650,6,0.0141717241503496,"Greater Abyssinia","Gumuz"
"76","gunw1252","Kunwinjku",163463,5,0.0157860214772727,"N Australia","Gunwinyguan"
"77","gwii1239","G|wi",403400,5,0.00715175996678322,"S Africa","Khoe-Kwadi"
"78","hakk1236","Hakka",492504,5,0.0142413648747086,"Southeast Asia","Sino-Tibetan"
"79","haus1257","Hausa",294900,8,0.0128904896153846,"African Savannah","Afro-Asiatic"
"80","hebr1245","Hebrew",175208,4,0.00784912093278943,"Greater Mesopotamia","Afro-Asiatic"
"81","hadz1240","Hadza",149750,5,0.0120555787068765,"S Africa","hadz1240"
"82","hung1274","Hungarian",470300,14,0.00773176332167832,"Europe","Uralic"
"83","hupa1239","Hupa",187425,6,0.00820180974864025,"California","Athapaskan-Eyak-Tlingit"
"84","iaai1238","Iaai",363700.5,9,0.0150983943958819,"Oceania","Austronesian"
"85","nucl1417","Igbo",456311.5,8,0.0185134842851593,"African Savannah","Atlantic-Congo"
"86","ifee1241","Ife",331608.5,7,0.0176471657653458,"African Savannah","Atlantic-Congo"
"87","indo1316","Indonesian",447768,6,0.018421975975136,"Southeast Asia","Austronesian"
"88","icel1247","Icelandic",491050.5,16,0.00591718928904429,"Europe","Indo-European"
"89","ital1282","Italian",396357.5,7,0.0103361834900932,"Europe","Indo-European"
"90","nucl1643","Japanese",342525,5,0.0114923143865579,"N Coast Asia","Japonic"
"91","kala1399","Greenlandic",161807,3,0.00314599372113442,"E North America","Eskimo-Aleut"
"92","nucl1305","Kannada",265192.5,10,0.0171548168473193,"Indic","Dravidian"
"93","nucl1302","Georgian",182800,5,0.00679422693356643,"Greater Mesopotamia","Kartvelian"
"94","kaza1248","Kazakh",258125,9,0.00360331479166667,"Inner Asia","Turkic"
"95","khan1273","Khanty",241750,8,0.00484959278644134,"Inner Asia","Uralic"
