"","X","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore","ANU.Tones","Tones.diff","specH.mean.center"
"67",67,"Arrarnte","are","ph",1235,TRUE,0,3,29,17,26,"west2441","Pama-Nyungan",-24.05052,133.24621,35,165,0.00504099964005439,"Pama-Nyungan","Pama-Nyungan","S Australia",21,0,0,-1.90048804076793
"68",68,"Arrernte, Central","aer","uz",2158,TRUE,0,5,31,18,26,"east2379","Pama-Nyungan",-23.3583,135.046,35,166,0.00526473209265734,"Pama-Nyungan","Pama-Nyungan","S Australia",22,0,0,-1.85113020439638
"70",70,"Asmat","tml","spa",54,TRUE,0,5,19,9,14,"tamn1235","Nuclear Trans New Guinea",-5.57962,139.233,44,168,0.0189198293822844,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",24,0,0,1.16133423613427
"71",71,"Assamese","asm","uz",2159,TRUE,0,10,33,17,23,"assa1263","Indo-European",26.0876,91.2932,60,143,0.0151366546365579,"Indo-European","Indo-European","Indic",22,0,0,0.326724335370547
"72",72,"Atayal","tay","spa",30,TRUE,0,8,27,15,19,"atay1247","Austronesian",24.5209,121.388,60,159,0.0157794366035354,"Austronesian","Austronesian","Southeast Asia",24,0,0,0.468529097172207
"74",74,"Au","avt","ph",1169,TRUE,0,7,17,12,10,"auuu1241","Nuclear Torricelli",-3.53277,142.105,45,170,0.0174953291414141,"Nuclear Torricelli","Nuclear Torricelli","N Coast New Guinea",21,0,0,0.847073837242137
"75",75,"Auyana","auy","spa",57,TRUE,3,6,20,13,14,"awiy1238","Nuclear Trans New Guinea",-6.54079,145.76,44,172,0.016431737020202,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",24,3,0,0.612433733519557
"79",79,"Awa Pit","kwi","ph",1120,TRUE,0,7,21,13,14,"awac1239","Barbacoan",1.21652,-78.3401,48,54,0.0152617957770008,"Barbacoan","Barbacoan","Andean",21,0,0,0.354331845418686
"80",80,"Awara","awx","ph",1175,TRUE,0,6,25,12,19,"awar1248","Nuclear Trans New Guinea",-6.16986,146.372,44,172,0.016431737020202,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","N Coast New Guinea",21,0,0,0.612433733519557
"81",81,"Awing","azo","ph",1176,TRUE,0,17,56,27,39,"awin1248","Atlantic-Congo",5.88362,10.264,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,0,0,0.843450909078256
"82",82,"Awngi","awn","gm",1542,TRUE,3,6,39,14,33,"awng1244","Afro-Asiatic",10.9819,36.6916,53,114,0.0141717241503496,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23,4,-1,0.113850071963095
"83",83,"Awtuw","kmn","ph",1177,TRUE,0,7,18,14,11,"awtu1239","Sepik",-3.53129,141.928,45,170,0.0174953291414141,"Sepik","Sepik","N Coast New Guinea",21,0,0,0.847073837242137
"84",84,"Aymara","jqr","spa",105,TRUE,0,6,42,15,36,"jaqa1244","Aymaran",-12.8823,-75.8958,40,55,0.0123469161936674,"Aymaran","Aymaran","Andean",24,0,0,-0.288722605748867
