"","X","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore","ANU.Tones","Tones.diff","specH.mean.center"
"195",195,"cerma ","cme","aa",685,TRUE,4,21,46,28,25,"cerm1238","Atlantic-Congo",10.1245,-4.94917,52,92,0.0155780711740482,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,0,4,0.42410567176438
"196",196,"Chacobo","cao","spa",121,TRUE,0,4,21,9,17,"chac1251","Pano-Tacanan",-12.133,-66.7164,41,60,0.0164328499067599,"Pano-Tacanan","Pano-Tacanan","NE South America",24,0,0,0.61267924851743
"197",197,"Cham","cja","spa",29,TRUE,2,9,35,17,26,"west2650","Austronesian",12.4771,104.026,53,150,0.0187591800621601,"Austronesian","Austronesian","Southeast Asia",24,0,2,1.12589323165036
"198",198,"Chamicuro","ccc","ph",855,TRUE,0,10,29,18,19,"cham1318","Arawakan",-5.1149,-75.6778,44,55,0.0134748199106449,"Arawakan","Arawakan","NE South America",21,0,0,-0.0398946576449644
"199",199,"Chamorro","cha","spa",38,TRUE,0,6,36,17,30,"cham1312","Austronesian",15.233333,145.75,55,172,0.0192253727233877,"Austronesian","Austronesian","Oceania",24,0,0,1.22874045306499
"201",201,"Chechen","che","ph",856,TRUE,0,12,44,18,32,"chec1245","Nakh-Daghestanian",43.5,45.5,69,119,0.00654397926787102,"Nakh-Daghestanian","Nakh-Daghestanian","Greater Mesopotamia",21,0,0,-1.56891422715044
"202",202,"Chepang","cdm","ph",857,TRUE,0,6,24,13,18,"chep1245","Sino-Tibetan",27.7206,84.9017,61,140,0.0132493651773504,"Sino-Tibetan","Sino-Tibetan","Indic",21,2,-2,-0.0896324480534538
"203",203,"Cheremis","mhr","ph",858,TRUE,0,8,27,16,19,"east2328","Uralic",55.8307,48.405,76,120,0.00547449185635198,"Uralic","Uralic","Inner Asia",21,0,0,-1.80485489666465
"204",204,"Chickasaw","cic","ph",1230,TRUE,0,9,25,14,16,"chic1270","Muskogean",33.9452,-97.1301,65,44,0.0090554159496892,"Muskogean","Muskogean","E North America",21,2,-2,-1.01486371120364
"205",205,"Chilliwak Halkomelem","hur","ph",1115,TRUE,3,12,47,18,35,"halk1245","Salishan",48.0751,-122.029,72,31,0.00651985847358197,"Salishan","Salishan","Alaska-Oregon",21,0,3,-1.57423553929724
"206",206,"Chimborazo Quichua","qug","ph",1157,TRUE,0,5,36,12,31,"chim1302","Quechuan",-1.36727,-78.8521,46,54,0.0133793786596737,"Quechuan","Quechuan","Andean",21,0,0,-0.0609500458719607
"208",208,"Chindali","ndh","gm",1471,TRUE,4,10,31,18,21,"ndal1241","Atlantic-Congo",-9.88948,33.6118,42,113,0.0112583989599845,"Atlantic-Congo","Atlantic-Congo","S Africa",23,0,4,-0.52886146304324
"209",209,"Chinese","yue","uz",2166,TRUE,5,10,48,17,38,"yuec1235","Sino-Tibetan",23,113,59,154,0.0149754553350816,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",22,6,-1,0.291161998959761
"210",210,"Chipewyan","chp","spa",63,TRUE,4,18,61,24,43,"chip1261","Athapaskan-Eyak-Tlingit",58.3637,-110.832,77,37,0.00491832556045066,"Athapaskan-Eyak-Tlingit","Athapaskan-Eyak-Tlingit","E North America",24,2,2,-1.92755129009841
"211",211,"Chiricahua Apache","apm","ph",951,TRUE,4,16,51,20,35,"mesc1238","Athapaskan-Eyak-Tlingit",33.1291,-105.566,64,40,0.00650503259965035,"Athapaskan-Eyak-Tlingit","Athapaskan-Eyak-Tlingit","Basin and Plains",21,2,2,-1.57750628992402
"212",212,"Choctaw","cho","ph",1071,TRUE,0,6,21,11,15,"choc1276","Muskogean",33.8993,-94.819,65,45,0.0100432900965423,"Muskogean","Muskogean","E North America",21,2,-2,-0.796927824260152
"216",216,"Chrau","crw","ph",861,TRUE,0,13,33,21,20,"chra1242","Austroasiatic",10.8021,107.293,53,151,0.0181261285586636,"Austroasiatic","Austroasiatic","Southeast Asia",21,0,0,0.986235116965503
"217",217,"Chukchi","ckt","spa",195,TRUE,0,7,22,12,15,"chuk1273","Chukotko-Kamchatkan",68.6436,170.045,82,184,0.00305657907797203,"Chukotko-Kamchatkan","Chukotko-Kamchatkan","N Coast Asia",24,0,0,-2.33827301230908
"219",219,"Chuvash","chv","spa",189,TRUE,0,9,39,23,30,"chuv1255","Turkic",55.487,47.163,76,120,0.00547449185635198,"Turkic","Turkic","Inner Asia",24,0,0,-1.80485489666465
"220",220,"cilungu","mgr","gm",1289,TRUE,7,10,36,16,26,"mamb1296","Atlantic-Congo",-8.86817,31.2269,42,111,0.0111559680986791,"Atlantic-Congo","Atlantic-Congo","S Africa",23,2,5,-0.551458836079157
"222",222,"Coeur d''Alene'","crd","ph",863,TRUE,0,8,48,18,40,"coeu1236","Salishan",47.2958,-116.715,71,34,0.00516837514374514,"Salishan","Salishan","Basin and Plains",21,0,0,-1.87238760564657
"223",223,"Colorado; Tsafiki","cof","ph",1222,TRUE,0,9,25,15,16,"colo1256","Barbacoan",-0.21181,-79.2347,47,53,0.0158830371212121,"Barbacoan","Barbacoan","Andean",21,0,0,0.491384509250355
"224",224,"Comanche","com","ph",864,TRUE,0,6,18,10,12,"coma1245","Uto-Aztecan",34.5701,-98.424,65,43,0.00783537847513597,"Uto-Aztecan","Uto-Aztecan","Basin and Plains",21,0,0,-1.28401737816421
"226",226,"Comox","coo","ph",1107,TRUE,0,5,42,15,37,"como1259","Salishan",49.7233,-124.967,73,29,0.00695018241686092,"Salishan","Salishan","Alaska-Oregon",21,0,0,-1.47930135102006
"227",227,"Croatian","hrv","ph",1139,TRUE,0,11,36,19,25,"croa1245","Indo-European",45.2006,16.826,70,104,0.00900058436363636,"Indo-European","Indo-European","Europe",21,0,0,-1.0269601613203
"228",228,"Crow","cro","ph",1238,TRUE,3,10,23,12,13,"crow1244","Siouan",45.368,-107.874,70,38,0.0041447604531857,"Siouan","Siouan","Basin and Plains",21,2,1,-2.09820824908186
"229",229,"Cupeno","cup","ph",865,TRUE,0,11,38,20,27,"cupe1243","Uto-Aztecan",33.3148,-116.515,64,34,0.00832576455963481,"Uto-Aztecan","Uto-Aztecan","California",21,0,0,-1.1758328218516
"230",230,"Cuvok","cuv","ph",866,TRUE,0,2,29,8,27,"cuvo1236","Afro-Asiatic",10.6448,14.0006,52,102,0.0133330583438228,"Afro-Asiatic","Afro-Asiatic","African Savannah",21,0,0,-0.0711688162999812
"231",231,"Cwaya","shw","gm",1499,TRUE,3,10,38,19,28,"shwa1239","Heibanic",11.2708,30.3533,53,111,0.0136004093560606,"Heibanic","Heibanic","African Savannah",23,2,1,-0.0121882465959448
"232",232,"Czech","ces","ph",1140,TRUE,0,13,38,20,25,"czec1258","Indo-European",49.873398,15.10437,73,103,0.00654143249941725,"Indo-European","Indo-European","Europe",21,0,0,-1.56947607224334
"233",233,"Daba","dbq","gm",1576,TRUE,4,6,46,13,40,"nucl1683","Afro-Asiatic",10.3521,13.6318,52,102,0.0133330583438228,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,0,4,-0.0711688162999812
"234",234,"Dafla","njz","spa",21,TRUE,2,9,27,15,18,"nyis1236","Sino-Tibetan",26,93.5,60,144,0.0137841268422688,"Sino-Tibetan","Sino-Tibetan","Indic",24,2,0,0.0283418486913513
"235",235,"dagaare","dga","aa",688,TRUE,3,27,54,35,27,"sout2789","Atlantic-Congo",10.4226,-2.52265,52,94,0.0158166494858197,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,3,0,0.476738667725488
"237",237,"Dagbani","dag","spa",139,TRUE,2,11,37,19,26,"dagb1246","Atlantic-Congo",9.64745,-0.43227,52,95,0.0159259896855089,"Atlantic-Congo","Atlantic-Congo","African Savannah",24,2,0,0.500860316696415
"238",238,"Dakota","lkt","spa",75,TRUE,0,9,36,13,27,"lako1247","Siouan",46.3699,-103.95,71,40,0.00536450762606838,"Siouan","Siouan","Basin and Plains",24,2,-2,-1.8291186258583
"240",240,"dangme ","ada","aa",692,TRUE,4,12,39,20,27,"adan1247","Atlantic-Congo",5.9437,0.13243,50,95,0.0184863100097125,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,3,1,1.06569510105861
"241",241,"Danish","dan","uz",2167,TRUE,0,16,69,24,53,"dani1285","Indo-European",54.8655,9.36284,75,100,0.0063776429949495,"Indo-European","Indo-European","Europe",22,0,0,-1.60560983588309
"244",244,"Degema","deg","gm",1452,TRUE,2,10,36,19,26,"dege1246","Atlantic-Congo",4.73373,6.80991,49,99,0.0185134842851593,"Atlantic-Congo","Atlantic-Congo","African Savannah",23,2,0,1.0716900446862
"245",245,"Delaware","unm","spa",73,TRUE,0,17,39,26,22,"unam1242","Algic",35.0264,-98.3201,65,43,0.00783537847513597,"Algic","Algic","Basin and Plains",24,0,0,-1.28401737816421
"246",246,"Denya","anv","ph",867,TRUE,0,8,30,15,22,"deny1238","Atlantic-Congo",5.97237,9.39989,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,0,0,0.843450909078256
"249",249,"dida","dic","aa",695,TRUE,3,27,57,35,30,"lako1244","Atlantic-Congo",5.86012,-5.40633,50,92,0.0181313548445998,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,3,0,0.987388093045052
"252",252,"Digueno","dih","spa",90,TRUE,0,9,34,19,25,"kumi1248","Cochimi-Yuman",32.331,-116.604,64,34,0.00832576455963481,"Cochimi-Yuman","Cochimi-Yuman","California",24,0,0,-1.1758328218516
"254",254,"Dimili","diq","ph",1109,TRUE,0,14,44,22,30,"diml1238","Indo-European",38.6147,39.6388,67,116,0.00696122578341103,"Indo-European","Indo-European","Greater Mesopotamia",21,0,0,-1.47686506306616
"258",258,"ditammari","tbz","aa",697,TRUE,3,12,32,19,20,"dita1238","Atlantic-Congo",10.1614,1.18045,52,96,0.0158915132358197,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,4,-1,0.493254433228755
"259",259,"doayo","dow","aa",698,TRUE,4,22,48,29,26,"doya1240","Atlantic-Congo",8.68604,13.0768,51,102,0.0144215465252525,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,5,-1,0.168963631748245
"260",260,"Dobu","dob","ph",981,TRUE,0,5,24,11,19,"dobu1241","Austronesian",-9.63239,150.825,42,174,0.0183432960975136,"Austronesian","Austronesian","S New Guinea",21,0,0,1.03414466125855
"263",263,"duala","dua","aa",700,TRUE,5,7,33,14,26,"dual1243","Atlantic-Congo",4.10208,9.61877,49,100,0.0180563223115773,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,5,0,0.970835092153222
"266",266,"Dutch","nld","ph",1050,TRUE,0,15,39,24,24,"dutc1256","Indo-European",52,5,74,98,0.00702505466802642,"Indo-European","Indo-European","Europe",21,0,0,-1.46278371006631
"268",268,"East Makian","mky","ph",1037,TRUE,0,5,24,12,19,"east2440","Austronesian",0.07337,127.423,47,162,0.0187525773698524,"Austronesian","Austronesian","Oceania",21,0,0,1.12443660520774
"269",269,"Eastern Khanty","kca","ph",1137,TRUE,0,13,31,22,18,"khan1273","Uralic",62.4308,66.1218,79,130,0.00484959278644134,"Uralic","Uralic","Inner Asia",21,0,0,-1.9427144949596
"270",270,"ebira","igb","aa",702,TRUE,3,9,31,16,22,"ebir1243","Atlantic-Congo",8.15516,7.06183,51,99,0.0174586344959207,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,2,1,0.838978595416895
"272",272,"ẹdo ","bin","aa",704,TRUE,2,21,48,30,27,"bini1246","Atlantic-Congo",6.40701,5.70426,50,98,0.0187216013752914,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,4,-2,1.11760296058801
"273",273,"Ega","ega","ph",1233,TRUE,3,9,39,16,30,"egaa1242","Atlantic-Congo",5.56081,-5.41732,50,92,0.0181313548445998,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,3,0,0.987388093045052
"275",275,"Egyptian Arabic","arz","spa",132,TRUE,0,9,67,21,58,"egyp1253","Afro-Asiatic",31,31,63,111,0.00823232352602953,"Afro-Asiatic","Afro-Asiatic","N Africa",24,0,0,-1.19644694015863
"276",276,"Ejagham","etu","gm",1654,TRUE,3,7,29,14,22,"ejag1239","Atlantic-Congo",5.54442,8.90959,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",23,2,1,0.843450909078256
"278",278,"Eloyi","afo","gm",1300,TRUE,3,7,51,17,44,"eloy1241","Atlantic-Congo",8.24696,7.97061,51,99,0.0174586344959207,"Atlantic-Congo","Atlantic-Congo","African Savannah",23,3,0,0.838978595416895
"279",279,"emai","ema","aa",707,TRUE,0,21,48,29,27,"emai1241","Atlantic-Congo",7.09089,5.84494,51,98,0.017759444771756,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,0,0,0.905340646164671
"280",280,"engenni","enn","aa",708,TRUE,3,10,33,16,23,"enge1239","Atlantic-Congo",5.11931,6.37339,50,98,0.0187216013752914,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,2,1,1.11760296058801
"281",281,"English (American)","eng","uz",2175,TRUE,0,12,39,19,27,"stan1293","Indo-European",53,-1,74,94,0.00714047989918415,"Indo-European","Indo-European","Europe",22,0,0,-1.43731963631952
"284",284,"Eton","eto","gm",1563,TRUE,2,15,38,23,23,"eton1253","Atlantic-Congo",4.21045,11.3935,49,101,0.0171731030205905,"Atlantic-Congo","Atlantic-Congo","African Savannah",23,0,2,0.77598721587265
"285",285,"Etsako","ets","ph",1110,TRUE,3,7,36,15,29,"yekh1238","Atlantic-Congo",7.10204,6.44919,51,98,0.017759444771756,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,3,0,0.905340646164671
"286",286,"Even","eve","spa",192,TRUE,0,18,36,25,18,"even1260","Tungusic",70.6687,130.914,84,164,0.00261296785590521,"Tungusic","Tungusic","Inner Asia",24,0,0,-2.43613852022544
"287",287,"Evenki","evn","uz",2238,TRUE,0,11,29,18,18,"even1259","Tungusic",53.85,108.626,75,152,0.00493750158238151,"Tungusic","Tungusic","Inner Asia",22,0,0,-1.92332084904389
"288",288,"Ewe","ewe","spa",142,TRUE,3,14,45,24,31,"ewee1241","Atlantic-Congo",6.46061,0.814975,50,95,0.0184863100097125,"Atlantic-Congo","Atlantic-Congo","African Savannah",24,3,0,1.06569510105861
"289",289,"ewondo","ewo","aa",709,TRUE,3,7,25,13,18,"ewon1239","Atlantic-Congo",4.21141,11.93646,49,101,0.0171731030205905,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,6,-3,0.77598721587265
"290",290,"Faiwol","fai","ph",974,TRUE,0,8,20,13,12,"faiw1243","Nuclear Trans New Guinea",-5.4967,141.656,44,169,0.0187430518337218,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",21,4,-4,1.12233516731522
"291",291,"Fan","fan","ph",877,TRUE,0,16,41,23,25,"fang1246","Atlantic-Congo",1.723965,11.61454,48,101,0.0171758783935509,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,3,-3,0.776599493630551
"293",293,"fe'efe'fe","fmp","aa",710,TRUE,5,16,44,22,28,"fefe1239","Atlantic-Congo",5.18158,10.1442,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,2,3,0.843450909078256
"295",295,"Finnish","fin","spa",180,TRUE,0,17,42,26,25,"finn1318","Uralic",64.7628,25.5577,80,108,0.00509239603632479,"Uralic","Uralic","Inner Asia",24,0,0,-1.88914943124711
"298",298,"fɔn","fon","aa",711,TRUE,4,14,42,21,28,"fonn1241","Atlantic-Congo",7.15484,1.66495,51,96,0.0176471657653458,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,3,1,0.880570664153208
"299",299,"French","fra","uz",2182,TRUE,0,16,36,23,20,"stan1290","Indo-European",48,2,72,96,0.00749480334362859,"Indo-European","Indo-European","Europe",22,0,0,-1.35915199282378
"300",300,"Frisian","frr","ph",1111,TRUE,0,19,42,27,23,"nort2626","Indo-European",54.6409,8.58489,75,100,0.0063776429949495,"Indo-European","Indo-European","Europe",21,0,0,-1.60560983588309
"303",303,"fulfulde","fuh","aa",715,TRUE,0,5,32,13,27,"west2454","Atlantic-Congo",14.2471,-0.52004,54,95,0.0116200772995338,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,2,-2,-0.449071248906128
"309",309,"Ga","gaa","spa",141,TRUE,3,13,47,25,34,"gaaa1244","Atlantic-Congo",5.65488,-0.18598,50,95,0.0184863100097125,"Atlantic-Congo","Atlantic-Congo","African Savannah",24,5,-2,1.06569510105861
"310",310,"Gaahmg","tbi","gm",1616,TRUE,3,12,49,26,37,"gaam1241","Eastern Jebel",11.4674,33.9797,53,113,0.0143162970963481,"Eastern Jebel","Eastern Jebel","African Savannah",23,2,1,0.145744451742731
"311",311,"Gadsup","gaj","spa",56,TRUE,4,6,19,9,13,"gads1258","Nuclear Trans New Guinea",-6.31631,145.997,44,172,0.016431737020202,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",24,2,2,0.612433733519557
"312",312,"Galician","glg","ph",1141,TRUE,0,8,28,18,20,"gali1258","Indo-European",42.2446,-7.5343,69,91,0.00878987800058275,"Indo-European","Indo-European","Europe",21,0,0,-1.07344429926743
"313",313,"Galke","gke","gm",1348,TRUE,3,22,57,30,35,"ndai1238","Atlantic-Congo",8.09039,14.2888,51,103,0.014364369209596,"Atlantic-Congo","Atlantic-Congo","African Savannah",23,5,-2,0.156349687917098
"316",316,"gangam","gng","aa",718,TRUE,3,14,39,23,25,"ngan1299","Atlantic-Congo",10.2523,0.70509,52,95,0.0159259896855089,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,3,0,0.500860316696415
"317",317,"Garadjari","gbd","ph",879,TRUE,0,3,20,15,17,"kara1476","Pama-Nyungan",-18.6771,122.334,37,159,0.00991896459615385,"Pama-Nyungan","Pama-Nyungan","N Australia",21,0,0,-0.824355395153835
"318",318,"Garo","grt","spa",24,TRUE,0,5,26,15,21,"garo1247","Sino-Tibetan",25.2954,90.462,60,142,0.0150596336587024,"Sino-Tibetan","Sino-Tibetan","Indic",24,0,0,0.309732661708811
"320",320,"Gayo","gay","ph",1052,TRUE,0,8,27,16,19,"gayo1244","Austronesian",4.3733,97.3456,49,146,0.0178769787839938,"Austronesian","Austronesian","Southeast Asia",21,0,0,0.931269940179165
"322",322,"Gbari","gby","ph",880,TRUE,0,7,31,12,24,"gbar1246","Atlantic-Congo",8.46411,7.10757,51,99,0.0174586344959207,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,3,-3,0.838978595416895
"323",323,"gbaya","gya","aa",719,TRUE,4,19,53,29,34,"nort2775","Atlantic-Congo",5.9503,15.2569,50,103,0.0159599510994561,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,4,0,0.508352577622582
"325",325,"Gbeya","gbp","spa",148,TRUE,2,12,45,23,33,"gbay1287","Atlantic-Congo",6.61896,17.645,50,104,0.0164806996134421,"Atlantic-Congo","Atlantic-Congo","African Savannah",24,2,0,0.623235419360639
"328",328,"georgian","kat","uz",2183,TRUE,0,5,33,9,28,"nucl1302","Kartvelian",41.850397,43.78613,69,118,0.00679422693356643,"Kartvelian","Kartvelian","Greater Mesopotamia",22,0,0,-1.51370684354535
"329",329,"German","deu","uz",2184,TRUE,0,18,40,23,22,"stan1295","Indo-European",48.649,12.4676,72,102,0.00657705152700078,"Indo-European","Indo-European","Europe",22,0,0,-1.56161812354288
"330",330,"gɛn-mina","gej","aa",721,TRUE,3,14,44,21,30,"genn1243","Atlantic-Congo",6.25971,1.67727,50,96,0.0186830117715618,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,3,0,1.10908967016291
"334",334,"Glavda","glw","gm",1543,TRUE,2,7,43,15,36,"glav1244","Afro-Asiatic",11.1334,13.8652,53,102,0.0118947903034188,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,4,-2,-0.388466542985536
"335",335,"Goajiro","guc","spa",109,TRUE,0,18,46,28,28,"wayu1243","Arawakan",11.395566,-72.199791,53,57,0.0172826348776224,"Arawakan","Arawakan","NE South America",24,0,0,0.800151146558412
"337",337,"Gojri; Gujari; Gujar","gju","ph",1112,TRUE,0,18,50,28,32,"guja1253","Indo-European",34.3768,73.1461,65,133,0.00991347902719503,"Indo-European","Indo-European","Indic",21,3,-3,-0.825565571915964
"338",338,"Golin","gvf","ph",881,TRUE,0,10,23,16,13,"goli1247","Nuclear Trans New Guinea",-6.2249,144.8505,44,171,0.0169529563714064,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",21,3,-3,0.727420447119354
"339",339,"gonja","gjn","aa",724,TRUE,2,14,39,22,25,"gonj1241","Atlantic-Congo",8.48801,-0.72757,51,95,0.0175536528574204,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,2,0,0.859940689581743
"340",340,"Gouro","goa","gm",1605,TRUE,3,28,57,35,29,"guro1248","Mande",7.34954,-6.31154,51,92,0.0173445690705128,"Mande","Mande","African Savannah",23,3,0,0.81381450975371
"342",342,"Greek","ell","uz",2186,TRUE,0,5,41,13,36,"mode1248","Indo-European",42.3224,24.8699,69,108,0.00697476707983683,"Indo-European","Indo-European","Europe",22,0,0,-1.47387770434611
"343",343,"greek Thrace Xoraxane Romane","rmy","uz",2228,TRUE,0,12,39,17,27,"vlax1238","Indo-European",46.8191,14.8451,71,103,0.00816717954778555,"Indo-European","Indo-European","Europe",22,0,0,-1.21081841725706
"344",344,"Gu'de","gde","gm",1578,TRUE,2,4,36,10,32,"gude1246","Afro-Asiatic",10.2138,13.403,52,102,0.0133330583438228,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,2,0,-0.0711688162999812
"345",345,"Guajajara","gub","ph",882,TRUE,0,7,21,13,14,"guaj1255","Bookkeeping",-4.69461,-45.7081,45,71,0.0173550512296037,"Bookkeeping","Bookkeeping","NE South America",21,0,0,0.816126989178174
"346",346,"Guarani","gug","spa",119,TRUE,0,12,36,21,24,"para1311","Tupian",-25.60551,-57.08816,34,65,0.0138442504421134,"Tupian","Tupian","SE South America",24,0,0,0.0416057751744044
"349",349,"Gunwinggu","gup","ph",883,TRUE,0,5,24,18,19,"gunw1252","Gunwinyguan",-12.3398,133.358,41,165,0.0157860214772727,"Gunwinyguan","Gunwinyguan","N Australia",21,0,0,0.469981792642497
"350",350,"Gwandara (Karshi)","gwn","gm",1352,TRUE,8,10,46,16,36,"gwan1268","Afro-Asiatic",9.20464,7.49931,52,99,0.0155803042078477,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,3,5,0.424598303546697
"351",351,"Hadiyya","hdy","gm",1363,TRUE,0,10,56,22,46,"hadi1240","Afro-Asiatic",7.57377,37.7577,51,115,0.0125021268723776,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23,0,0,-0.254481425295302
"352",352,"Haida","hdn","spa",67,TRUE,0,3,50,15,47,"nort2938","Haida",54.004532,-132.079257,75,26,0.00664493083255633,"Haida","Haida","Alaska-Oregon",24,2,-2,-1.54664320319651
"353",353,"Hakka Chinese","hak","uz",2165,TRUE,5,7,47,17,40,"hakk1236","Sino-Tibetan",25,116,60,156,0.0142413648747086,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",22,6,-1,0.129213580643743
"355",355,"Hanga Hundi; Kwasengen; West Wosera","wos","ph",1064,TRUE,0,7,23,14,16,"hang1263","Ndu",-3.90364,142.849,45,170,0.0174953291414141,"Ndu","Ndu","N Coast New Guinea",21,0,0,0.847073837242137
"357",357,"Hausa","hau","uz",2188,TRUE,4,10,46,17,36,"haus1257","Afro-Asiatic",11.1513,8.7804,53,100,0.0128904896153846,"Afro-Asiatic","Afro-Asiatic","African Savannah",22,3,1,-0.168804338671814
"358",358,"Hawaiian","haw","spa",43,TRUE,0,10,19,14,9,"hawa1245","Austronesian",19.6297,-155.43,57,13,0.0158820471678322,"Austronesian","Austronesian","Oceania",24,0,0,0.491166114661765
"360",360,"Hebrew","heb","uz",2189,TRUE,0,5,27,10,22,"hebr1245","Afro-Asiatic",31.1056,35.0179,63,113,0.00784912093278943,"Afro-Asiatic","Afro-Asiatic","Greater Mesopotamia",22,0,0,-1.28098564106791
"361",361,"Heiban","hbn","gm",1497,TRUE,0,7,34,16,27,"heib1243","Heibanic",11.2908,30.5282,53,111,0.0136004093560606,"Heibanic","Heibanic","African Savannah",23,3,-3,-0.0121882465959448
"362",362,"herero","her","gm",1255,TRUE,2,5,26,11,21,"here1253","Atlantic-Congo",-21.0231,20.5655,36,106,0.0078717913510101,"Atlantic-Congo","Atlantic-Congo","S Africa",23,3,-1,-1.27598429781175
"363",363,"Hide","xed","gm",1403,TRUE,0,4,41,10,37,"hdii1240","Afro-Asiatic",10.942,13.6881,53,102,0.0118947903034188,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,3,-3,-0.388466542985536
"364",364,"Higi","hig","gm",1368,TRUE,2,7,35,14,28,"kamw1239","Afro-Asiatic",10.646,13.5136,53,102,0.0118947903034188,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,3,-1,-0.388466542985536
"365",365,"Hiligaynon","hil","gm",1696,TRUE,0,5,25,12,20,"hili1240","Austronesian",10.4018,122.974,52,160,0.0185754732964258,"Austronesian","Austronesian","Oceania",23,0,0,1.08536550141736
"368",368,"Hindi","hin","uz",2190,TRUE,0,11,74,26,63,"hind1269","Indo-European",25,77,60,135,0.010342837282634,"Indo-European","Indo-European","Indic",22,0,0,-0.730844424982745
"369",369,"Hoava","hoa","ph",1211,TRUE,0,5,21,10,16,"hoav1238","Austronesian",-8.19679,157.595,43,178,0.0191801465190365,"Austronesian","Austronesian","Oceania",21,0,0,1.21876305565079
"370",370,"Holoholo","hoo","gm",1389,TRUE,2,7,26,14,19,"holo1240","Atlantic-Congo",-5.37545,28.3274,44,110,0.0139822279856255,"Atlantic-Congo","Atlantic-Congo","S Africa",23,4,-2,0.0720451367260584
"371",371,"Hopi","hop","spa",95,TRUE,0,18,49,31,31,"hopi1249","Uto-Aztecan",35.7653,-110.535,65,37,0.00492709656565657,"Uto-Aztecan","Uto-Aztecan","Basin and Plains",24,2,-2,-1.92561631001514
"372",372,"Huallaga (Huanuco) Quechua","qvh","ph",1155,TRUE,0,10,31,18,21,"huam1248","Quechuan",-9.15718,-76.3372,42,55,0.0101520904520202,"Quechuan","Quechuan","Andean",21,0,0,-0.772925270851525
"373",373,"Huanca","qxw","ph",889,TRUE,0,5,27,14,22,"jauj1238","Quechuan",-11.6747,-75.2786,41,55,0.0101656815790598,"Quechuan","Quechuan","Andean",21,0,0,-0.769926918950757
"375",375,"Huave, San Mateo del Mar","huv","ph",888,TRUE,0,6,24,13,18,"sanm1287","Huavean",16.2129,-95.0077,55,45,0.0185677686790987,"Huavean","Huavean","Mesoamerica",21,2,-2,1.08366577821264
"376",376,"Huaylas","qwh","ph",887,TRUE,0,10,30,17,20,"huay1240","Quechuan",-9.38709,-77.7768,42,54,0.0126993243168221,"Quechuan","Quechuan","Andean",21,0,0,-0.21097750316625
"377",377,"Huichol","hch","ph",886,TRUE,0,10,25,16,15,"huic1243","Uto-Aztecan",21.954,-104.062,58,40,0.0153876075524476,"Uto-Aztecan","Uto-Aztecan","Mesoamerica",21,2,-2,0.38208730491449
"378",378,"Hungarian","hun","uz",2191,TRUE,0,14,64,26,50,"hung1274","Uralic",46.9068585714,19.6555271429,71,105,0.00773176332167832,"Uralic","Uralic","Europe",22,0,0,-1.30687601905638
