"","name","q15","q25","q50","q75"
"2","Test 2","0.651","0.9934","0.6108","0.1802"
"3","Test 3","0.6338","0.976","0.588","0.229"
"4","Test 2 Means","0.8814","","",""
"5","Test 3 Means","0.8292","","",""
"6","Test 2 Medians","0.5622","","",""
"7","Test 3 Medians","0.5084","","",""
