"","0","1","2","3","4","5","6","7","8","9","10"
"0",334,1,6,6,7,1,1,0,0,0,0
"2",50,0,27,21,11,5,0,2,0,0,1
"3",19,0,15,33,7,3,3,0,1,0,0
"4",18,1,14,7,12,4,4,1,0,0,0
"5",5,0,2,8,3,6,1,0,0,0,0
"6",2,0,1,4,1,4,1,0,0,0,0
"7",2,0,0,1,0,1,1,0,0,0,0
"8",0,0,0,0,0,0,1,1,0,2,0
"9",0,0,1,0,1,1,0,0,0,0,0
"11",0,0,0,0,0,1,0,0,0,0,0
"12",0,0,0,1,0,0,0,0,0,0,0
